Source_ID,Source,Source_Module,Target_ID,Target,Target_Module,Dependency_Type,Dependency_Count,Allowed
309,org/apache/tools/ant/types/resources/Sort,types,291,org/apache/tools/ant/types/resources/BaseResourceCollectionWrapper,types,Extends,1,1
309,org/apache/tools/ant/types/resources/Sort,types,319,org/apache/tools/ant/types/resources/comparators/DelegatedResourceComparator,types,Field,1,1
309,org/apache/tools/ant/types/resources/Sort,types,291,org/apache/tools/ant/types/resources/BaseResourceCollectionWrapper,types,ConstructorCall,1,1
309,org/apache/tools/ant/types/resources/Sort,types,319,org/apache/tools/ant/types/resources/comparators/DelegatedResourceComparator,types,ConstructorCall,1,1
309,org/apache/tools/ant/types/resources/Sort,types,319,org/apache/tools/ant/types/resources/comparators/DelegatedResourceComparator,types,OwnFieldUse,4,1
309,org/apache/tools/ant/types/resources/Sort,types,276,org/apache/tools/ant/types/ResourceCollection,types,MethodCall,1,1
309,org/apache/tools/ant/types/resources/Sort,types,276,org/apache/tools/ant/types/ResourceCollection,types,LocalVar,1,1
309,org/apache/tools/ant/types/resources/Sort,types,323,org/apache/tools/ant/types/resources/comparators/ResourceComparator,types,Argument,1,1
309,org/apache/tools/ant/types/resources/Sort,types,319,org/apache/tools/ant/types/resources/comparators/DelegatedResourceComparator,types,MethodCall,1,1
309,org/apache/tools/ant/types/resources/Sort,types,294,org/apache/tools/ant/types/resources/FailFast,types,MethodCall,1,1
309,org/apache/tools/ant/types/resources/Sort,types,4,org/apache/tools/ant/BuildException,ant,Throws,1,1
309,org/apache/tools/ant/types/resources/Sort,types,29,org/apache/tools/ant/Project,ant,Argument,1,1
309,org/apache/tools/ant/types/resources/Sort,types,291,org/apache/tools/ant/types/resources/BaseResourceCollectionWrapper,types,MethodCall,1,1
309,org/apache/tools/ant/types/resources/Sort,types,252,org/apache/tools/ant/types/DataType,types,MethodCall,1,1
260,org/apache/tools/ant/types/FilterSet,types,252,org/apache/tools/ant/types/DataType,types,Extends,1,1
260,org/apache/tools/ant/types/FilterSet,types,252,org/apache/tools/ant/types/DataType,types,ConstructorCall,2,1
260,org/apache/tools/ant/types/FilterSet,types,4,org/apache/tools/ant/BuildException,ant,Throws,4,1
260,org/apache/tools/ant/types/FilterSet,types,4,org/apache/tools/ant/BuildException,ant,ConstructorCall,6,1
260,org/apache/tools/ant/types/FilterSet,types,393,org/apache/tools/ant/util/FileUtils,ant.util,MethodCall,2,1
260,org/apache/tools/ant/types/FilterSet,types,252,org/apache/tools/ant/types/DataType,types,MethodCall,1,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,36,org/apache/tools/ant/Task,ant,Extends,1,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,393,org/apache/tools/ant/util/FileUtils,ant.util,Field,1,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,248,org/apache/tools/ant/types/Commandline,types,Field,1,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,267,org/apache/tools/ant/types/Path,types,Field,3,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,36,org/apache/tools/ant/Task,ant,ConstructorCall,1,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,248,org/apache/tools/ant/types/Commandline,types,ConstructorCall,1,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,248,org/apache/tools/ant/types/Commandline,types,OwnFieldUse,27,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,267,org/apache/tools/ant/types/Path,types,OwnFieldUse,34,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,248,org/apache/tools/ant/types/Commandline,types,MethodCall,86,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,267,org/apache/tools/ant/types/Path,types,Argument,8,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,267,org/apache/tools/ant/types/Path,types,MethodCall,25,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,267,org/apache/tools/ant/types/Path,types,Returns,3,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,267,org/apache/tools/ant/types/Path,types,ConstructorCall,6,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,273,org/apache/tools/ant/types/Reference,types,Argument,4,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,29,org/apache/tools/ant/Project,ant,MethodCall,5,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,4,org/apache/tools/ant/BuildException,ant,ConstructorCall,16,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,254,org/apache/tools/ant/types/DirSet,types,Argument,1,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,258,org/apache/tools/ant/types/FileSet,types,Argument,1,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,4,org/apache/tools/ant/BuildException,ant,Throws,1,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,399,org/apache/tools/ant/util/JavaEnvUtils,ant.util,MethodCall,4,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,393,org/apache/tools/ant/util/FileUtils,ant.util,OwnFieldUse,7,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,393,org/apache/tools/ant/util/FileUtils,ant.util,MethodCall,7,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,135,org/apache/tools/ant/taskdefs/PumpStreamHandler,taskdefs,ConstructorCall,1,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,87,org/apache/tools/ant/taskdefs/Execute,taskdefs,ConstructorCall,1,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,87,org/apache/tools/ant/taskdefs/Execute,taskdefs,MethodCall,4,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,267,org/apache/tools/ant/types/Path,types,LocalVar,4,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,248,org/apache/tools/ant/types/Commandline,types,LocalVar,1,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,87,org/apache/tools/ant/taskdefs/Execute,taskdefs,LocalVar,1,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,248,org/apache/tools/ant/types/Commandline,types,Argument,10,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,12,org/apache/tools/ant/DirectoryScanner,ant,MethodCall,2,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,12,org/apache/tools/ant/DirectoryScanner,ant,LocalVar,2,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,276,org/apache/tools/ant/types/ResourceCollection,types,MethodCall,2,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,258,org/apache/tools/ant/types/FileSet,types,MethodCall,5,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,296,org/apache/tools/ant/types/resources/FileResource,types,MethodCall,1,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,258,org/apache/tools/ant/types/FileSet,types,LocalVar,2,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,276,org/apache/tools/ant/types/ResourceCollection,types,LocalVar,1,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,268,org/apache/tools/ant/types/PatternSet,types,ConstructorCall,1,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,268,org/apache/tools/ant/types/PatternSet,types,MethodCall,4,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,254,org/apache/tools/ant/types/DirSet,types,ConstructorCall,1,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,254,org/apache/tools/ant/types/DirSet,types,MethodCall,5,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,254,org/apache/tools/ant/types/DirSet,types,LocalVar,2,1
106,org/apache/tools/ant/taskdefs/Javadoc,taskdefs,268,org/apache/tools/ant/types/PatternSet,types,LocalVar,1,1
350,org/apache/tools/ant/types/selectors/DepthSelector,types,343,org/apache/tools/ant/types/selectors/BaseExtendSelector,types,Extends,1,1
350,org/apache/tools/ant/types/selectors/DepthSelector,types,343,org/apache/tools/ant/types/selectors/BaseExtendSelector,types,ConstructorCall,1,1
350,org/apache/tools/ant/types/selectors/DepthSelector,types,265,org/apache/tools/ant/types/Parameter,types,Argument,1,1
350,org/apache/tools/ant/types/selectors/DepthSelector,types,343,org/apache/tools/ant/types/selectors/BaseExtendSelector,types,MethodCall,1,1
350,org/apache/tools/ant/types/selectors/DepthSelector,types,265,org/apache/tools/ant/types/Parameter,types,MethodCall,5,1
350,org/apache/tools/ant/types/selectors/DepthSelector,types,4,org/apache/tools/ant/BuildException,ant,ConstructorCall,2,1
124,org/apache/tools/ant/taskdefs/Mkdir,taskdefs,36,org/apache/tools/ant/Task,ant,Extends,1,1
124,org/apache/tools/ant/taskdefs/Mkdir,taskdefs,36,org/apache/tools/ant/Task,ant,ConstructorCall,1,1
124,org/apache/tools/ant/taskdefs/Mkdir,taskdefs,4,org/apache/tools/ant/BuildException,ant,Throws,1,1
124,org/apache/tools/ant/taskdefs/Mkdir,taskdefs,4,org/apache/tools/ant/BuildException,ant,ConstructorCall,3,1
164,org/apache/tools/ant/taskdefs/VerifyJar,taskdefs,50,org/apache/tools/ant/taskdefs/AbstractJarSignerTask,taskdefs,Extends,1,1
164,org/apache/tools/ant/taskdefs/VerifyJar,taskdefs,50,org/apache/tools/ant/taskdefs/AbstractJarSignerTask,taskdefs,ConstructorCall,1,1
164,org/apache/tools/ant/taskdefs/VerifyJar,taskdefs,4,org/apache/tools/ant/BuildException,ant,Throws,1,1
164,org/apache/tools/ant/taskdefs/VerifyJar,taskdefs,4,org/apache/tools/ant/BuildException,ant,ConstructorCall,3,1
164,org/apache/tools/ant/taskdefs/VerifyJar,taskdefs,272,org/apache/tools/ant/types/RedirectorElement,types,MethodCall,2,1
164,org/apache/tools/ant/taskdefs/VerifyJar,taskdefs,259,org/apache/tools/ant/types/FilterChain,types,MethodCall,1,1
164,org/apache/tools/ant/taskdefs/VerifyJar,taskdefs,267,org/apache/tools/ant/types/Path,types,MethodCall,1,1
164,org/apache/tools/ant/taskdefs/VerifyJar,taskdefs,296,org/apache/tools/ant/types/resources/FileResource,types,MethodCall,1,1
164,org/apache/tools/ant/taskdefs/VerifyJar,taskdefs,296,org/apache/tools/ant/types/resources/FileResource,types,LocalVar,1,1
164,org/apache/tools/ant/taskdefs/VerifyJar,taskdefs,267,org/apache/tools/ant/types/Path,types,LocalVar,1,1
164,org/apache/tools/ant/taskdefs/VerifyJar,taskdefs,272,org/apache/tools/ant/types/RedirectorElement,types,LocalVar,1,1
164,org/apache/tools/ant/taskdefs/VerifyJar,taskdefs,259,org/apache/tools/ant/types/FilterChain,types,LocalVar,1,1
164,org/apache/tools/ant/taskdefs/VerifyJar,taskdefs,86,org/apache/tools/ant/taskdefs/ExecTask,taskdefs,MethodCall,1,1
164,org/apache/tools/ant/taskdefs/VerifyJar,taskdefs,4,org/apache/tools/ant/BuildException,ant,LocalVar,2,1
164,org/apache/tools/ant/taskdefs/VerifyJar,taskdefs,86,org/apache/tools/ant/taskdefs/ExecTask,taskdefs,LocalVar,1,1
162,org/apache/tools/ant/taskdefs/Untar,taskdefs,93,org/apache/tools/ant/taskdefs/Expand,taskdefs,Extends,1,1
162,org/apache/tools/ant/taskdefs/Untar,taskdefs,93,org/apache/tools/ant/taskdefs/Expand,taskdefs,ConstructorCall,1,1
162,org/apache/tools/ant/taskdefs/Untar,taskdefs,4,org/apache/tools/ant/BuildException,ant,ConstructorCall,3,1
162,org/apache/tools/ant/taskdefs/Untar,taskdefs,393,org/apache/tools/ant/util/FileUtils,ant.util,Argument,1,1
162,org/apache/tools/ant/taskdefs/Untar,taskdefs,393,org/apache/tools/ant/util/FileUtils,ant.util,MethodCall,7,1
162,org/apache/tools/ant/taskdefs/Untar,taskdefs,275,org/apache/tools/ant/types/Resource,types,Argument,1,1
162,org/apache/tools/ant/taskdefs/Untar,taskdefs,275,org/apache/tools/ant/types/Resource,types,MethodCall,3,1
162,org/apache/tools/ant/taskdefs/Untar,taskdefs,455,org/apache/tools/tar/TarInputStream,tar,ConstructorCall,1,1
162,org/apache/tools/ant/taskdefs/Untar,taskdefs,455,org/apache/tools/tar/TarInputStream,tar,MethodCall,1,1
162,org/apache/tools/ant/taskdefs/Untar,taskdefs,454,org/apache/tools/tar/TarEntry,tar,MethodCall,3,1
162,org/apache/tools/ant/taskdefs/Untar,taskdefs,454,org/apache/tools/tar/TarEntry,tar,LocalVar,1,1
162,org/apache/tools/ant/taskdefs/Untar,taskdefs,391,org/apache/tools/ant/util/FileNameMapper,ant.util,LocalVar,1,1
162,org/apache/tools/ant/taskdefs/Untar,taskdefs,455,org/apache/tools/tar/TarInputStream,tar,LocalVar,1,1
299,org/apache/tools/ant/types/resources/First,types,308,org/apache/tools/ant/types/resources/SizeLimitCollection,types,Extends,1,1
299,org/apache/tools/ant/types/resources/First,types,308,org/apache/tools/ant/types/resources/SizeLimitCollection,types,ConstructorCall,1,1
299,org/apache/tools/ant/types/resources/First,types,276,org/apache/tools/ant/types/ResourceCollection,types,MethodCall,1,1
77,org/apache/tools/ant/taskdefs/Delete,taskdefs,123,org/apache/tools/ant/taskdefs/MatchingTask,taskdefs,Extends,1,1
77,org/apache/tools/ant/taskdefs/Delete,taskdefs,323,org/apache/tools/ant/types/resources/comparators/ResourceComparator,types,Field,1,1
77,org/apache/tools/ant/taskdefs/Delete,taskdefs,337,org/apache/tools/ant/types/resources/selectors/ResourceSelector,types,Field,1,1
77,org/apache/tools/ant/taskdefs/Delete,taskdefs,306,org/apache/tools/ant/types/resources/Resources,types,Field,1,1
77,org/apache/tools/ant/taskdefs/Delete,taskdefs,123,org/apache/tools/ant/taskdefs/MatchingTask,taskdefs,ConstructorCall,1,1
77,org/apache/tools/ant/taskdefs/Delete,taskdefs,306,org/apache/tools/ant/types/resources/Resources,types,OwnFieldUse,8,1
77,org/apache/tools/ant/taskdefs/Delete,taskdefs,258,org/apache/tools/ant/types/FileSet,types,MethodCall,7,1
77,org/apache/tools/ant/taskdefs/Delete,taskdefs,258,org/apache/tools/ant/types/FileSet,types,Argument,1,1
77,org/apache/tools/ant/taskdefs/Delete,taskdefs,276,org/apache/tools/ant/types/ResourceCollection,types,Argument,1,1
77,org/apache/tools/ant/taskdefs/Delete,taskdefs,306,org/apache/tools/ant/types/resources/Resources,types,ConstructorCall,3,1
77,org/apache/tools/ant/taskdefs/Delete,taskdefs,306,org/apache/tools/ant/types/resources/Resources,types,MethodCall,9,1
77,org/apache/tools/ant/taskdefs/Delete,taskdefs,123,org/apache/tools/ant/taskdefs/MatchingTask,taskdefs,MethodCall,29,1
77,org/apache/tools/ant/taskdefs/Delete,taskdefs,268,org/apache/tools/ant/types/PatternSet,types,Returns,1,1
77,org/apache/tools/ant/taskdefs/Delete,taskdefs,362,org/apache/tools/ant/types/selectors/SelectSelector,types,Argument,1,1
77,org/apache/tools/ant/taskdefs/Delete,taskdefs,342,org/apache/tools/ant/types/selectors/AndSelector,types,Argument,1,1
77,org/apache/tools/ant/taskdefs/Delete,taskdefs,360,org/apache/tools/ant/types/selectors/OrSelector,types,Argument,1,1
77,org/apache/tools/ant/taskdefs/Delete,taskdefs,359,org/apache/tools/ant/types/selectors/NotSelector,types,Argument,1,1
77,org/apache/tools/ant/taskdefs/Delete,taskdefs,358,org/apache/tools/ant/types/selectors/NoneSelector,types,Argument,1,1
77,org/apache/tools/ant/taskdefs/Delete,taskdefs,356,org/apache/tools/ant/types/selectors/MajoritySelector,types,Argument,1,1
77,org/apache/tools/ant/taskdefs/Delete,taskdefs,348,org/apache/tools/ant/types/selectors/DateSelector,types,Argument,1,1
77,org/apache/tools/ant/taskdefs/Delete,taskdefs,367,org/apache/tools/ant/types/selectors/SizeSelector,types,Argument,1,1
77,org/apache/tools/ant/taskdefs/Delete,taskdefs,355,org/apache/tools/ant/types/selectors/FilenameSelector,types,Argument,1,1
77,org/apache/tools/ant/taskdefs/Delete,taskdefs,353,org/apache/tools/ant/types/selectors/ExtendSelector,types,Argument,1,1
77,org/apache/tools/ant/taskdefs/Delete,taskdefs,347,org/apache/tools/ant/types/selectors/ContainsSelector,types,Argument,1,1
77,org/apache/tools/ant/taskdefs/Delete,taskdefs,361,org/apache/tools/ant/types/selectors/PresentSelector,types,Argument,1,1
