Source_ID,Source,Source_Module,Target_ID,Target,Target_Module,Dependency_Type,Dependency_Count,Allowed
414,org/argouml/ui/explorer/rules/GoCompositeStateToSubvertex,explorer,396,org/argouml/ui/explorer/rules/AbstractPerspectiveRule,explorer,Extends,1,1
414,org/argouml/ui/explorer/rules/GoCompositeStateToSubvertex,explorer,396,org/argouml/ui/explorer/rules/AbstractPerspectiveRule,explorer,ConstructorCall,1,1
414,org/argouml/ui/explorer/rules/GoCompositeStateToSubvertex,explorer,107,org/argouml/i18n/Translator,internationalization,MethodCall,1,1
414,org/argouml/ui/explorer/rules/GoCompositeStateToSubvertex,explorer,178,org/argouml/model/Model,model,MethodCall,3,1
414,org/argouml/ui/explorer/rules/GoCompositeStateToSubvertex,explorer,171,org/argouml/model/Facade,model,MethodCall,3,1
98,org/argouml/cognitive/ui/WizDescription,critics,99,org/argouml/cognitive/ui/WizStep,critics,Extends,1,1
98,org/argouml/cognitive/ui/WizDescription,critics,99,org/argouml/cognitive/ui/WizStep,critics,ConstructorCall,1,1
98,org/argouml/cognitive/ui/WizDescription,critics,99,org/argouml/cognitive/ui/WizStep,critics,MethodCall,1,1
98,org/argouml/cognitive/ui/WizDescription,critics,51,org/argouml/cognitive/Translator,critics,MethodCall,7,1
98,org/argouml/cognitive/ui/WizDescription,critics,47,org/argouml/cognitive/ToDoItem,critics,MethodCall,1,1
98,org/argouml/cognitive/ui/WizDescription,critics,178,org/argouml/model/Model,model,MethodCall,5,1
98,org/argouml/cognitive/ui/WizDescription,critics,171,org/argouml/model/Facade,model,MethodCall,5,1
98,org/argouml/cognitive/ui/WizDescription,critics,47,org/argouml/cognitive/ToDoItem,critics,LocalVar,1,1
469,org/argouml/ui/explorer/rules/GoTransitiontoEffect,explorer,396,org/argouml/ui/explorer/rules/AbstractPerspectiveRule,explorer,Extends,1,1
469,org/argouml/ui/explorer/rules/GoTransitiontoEffect,explorer,396,org/argouml/ui/explorer/rules/AbstractPerspectiveRule,explorer,ConstructorCall,1,1
469,org/argouml/ui/explorer/rules/GoTransitiontoEffect,explorer,107,org/argouml/i18n/Translator,internationalization,MethodCall,1,1
469,org/argouml/ui/explorer/rules/GoTransitiontoEffect,explorer,178,org/argouml/model/Model,model,MethodCall,3,1
469,org/argouml/ui/explorer/rules/GoTransitiontoEffect,explorer,171,org/argouml/model/Facade,model,MethodCall,3,1
381,org/argouml/ui/explorer/ExplorerEventAdaptor,explorer,393,org/argouml/ui/explorer/TreeModelUMLEventListener,explorer,Field,1,1
381,org/argouml/ui/explorer/ExplorerEventAdaptor,explorer,221,org/argouml/notation/Notation,notation,FieldUse,4,0
381,org/argouml/ui/explorer/ExplorerEventAdaptor,explorer,11,org/argouml/application/api/Configuration,moduleLoader,MethodCall,2,0
381,org/argouml/ui/explorer/ExplorerEventAdaptor,explorer,178,org/argouml/model/Model,model,MethodCall,2,1
381,org/argouml/ui/explorer/ExplorerEventAdaptor,explorer,177,org/argouml/model/MetaTypes,model,MethodCall,1,1
381,org/argouml/ui/explorer/ExplorerEventAdaptor,explorer,179,org/argouml/model/ModelEventPump,model,MethodCall,1,1
381,org/argouml/ui/explorer/ExplorerEventAdaptor,explorer,393,org/argouml/ui/explorer/TreeModelUMLEventListener,explorer,OwnFieldUse,16,1
381,org/argouml/ui/explorer/ExplorerEventAdaptor,explorer,393,org/argouml/ui/explorer/TreeModelUMLEventListener,explorer,MethodCall,10,1
