Source_ID,Source,Source_Module,Target_ID,Target,Target_Module,Dependency_Type,Dependency_Count,Allowed
267,org/apache/commons/imaging/formats/tiff/taginfos/TagInfoFloats,tiff,255,org/apache/commons/imaging/formats/tiff/taginfos/TagInfo,tiff,Extends,1,1
267,org/apache/commons/imaging/formats/tiff/taginfos/TagInfoFloats,tiff,227,org/apache/commons/imaging/formats/tiff/constants/TiffDirectoryType,tiff,Argument,1,1
267,org/apache/commons/imaging/formats/tiff/taginfos/TagInfoFloats,tiff,235,org/apache/commons/imaging/formats/tiff/fieldtypes/FieldType,tiff,FieldUse,1,1
267,org/apache/commons/imaging/formats/tiff/taginfos/TagInfoFloats,tiff,255,org/apache/commons/imaging/formats/tiff/taginfos/TagInfo,tiff,ConstructorCall,1,1
267,org/apache/commons/imaging/formats/tiff/taginfos/TagInfoFloats,tiff,30,org/apache/commons/imaging/common/ByteConversions,common,MethodCall,2,1
302,org/apache/commons/imaging/formats/xbm/XbmImageParser,xbm,7,org/apache/commons/imaging/ImageParser,base,Extends,1,0
302,org/apache/commons/imaging/formats/xbm/XbmImageParser,xbm,7,org/apache/commons/imaging/ImageParser,base,ConstructorCall,1,0
302,org/apache/commons/imaging/formats/xbm/XbmImageParser,xbm,4,org/apache/commons/imaging/ImageFormat,base,Returns,1,0
302,org/apache/commons/imaging/formats/xbm/XbmImageParser,xbm,4,org/apache/commons/imaging/ImageFormat,base,ConstructorCall,1,0
302,org/apache/commons/imaging/formats/xbm/XbmImageParser,xbm,5,org/apache/commons/imaging/ImageFormats,base,FieldUse,2,0
302,org/apache/commons/imaging/formats/xbm/XbmImageParser,xbm,8,org/apache/commons/imaging/ImageReadException,base,Throws,9,0
302,org/apache/commons/imaging/formats/xbm/XbmImageParser,xbm,41,org/apache/commons/imaging/common/bytesource/ByteSource,common,Argument,8,0
302,org/apache/commons/imaging/formats/xbm/XbmImageParser,xbm,34,org/apache/commons/imaging/common/ImageMetadata,common,Returns,1,0
302,org/apache/commons/imaging/formats/xbm/XbmImageParser,xbm,6,org/apache/commons/imaging/ImageInfo,base,Returns,1,0
302,org/apache/commons/imaging/formats/xbm/XbmImageParser,xbm,6,org/apache/commons/imaging/ImageInfo,base,ConstructorCall,1,0
302,org/apache/commons/imaging/formats/xbm/XbmImageParser,xbm,41,org/apache/commons/imaging/common/bytesource/ByteSource,common,MethodCall,1,0
302,org/apache/commons/imaging/formats/xbm/XbmImageParser,xbm,24,org/apache/commons/imaging/common/BasicCParser,common,MethodCall,11,0
302,org/apache/commons/imaging/formats/xbm/XbmImageParser,xbm,8,org/apache/commons/imaging/ImageReadException,base,ConstructorCall,16,0
302,org/apache/commons/imaging/formats/xbm/XbmImageParser,xbm,24,org/apache/commons/imaging/common/BasicCParser,common,ConstructorCall,1,0
302,org/apache/commons/imaging/formats/xbm/XbmImageParser,xbm,24,org/apache/commons/imaging/common/BasicCParser,common,Argument,1,0
302,org/apache/commons/imaging/formats/xbm/XbmImageParser,xbm,9,org/apache/commons/imaging/ImageWriteException,base,Throws,1,0
302,org/apache/commons/imaging/formats/xbm/XbmImageParser,xbm,9,org/apache/commons/imaging/ImageWriteException,base,ConstructorCall,1,0
253,org/apache/commons/imaging/formats/tiff/photometricinterpreters/floatingpoint/PaletteEntryForValue,tiff,251,org/apache/commons/imaging/formats/tiff/photometricinterpreters/floatingpoint/PaletteEntry,tiff,Implements,1,1
57,org/apache/commons/imaging/formats/bmp/BmpImageContents,bmp,56,org/apache/commons/imaging/formats/bmp/BmpHeaderInfo,bmp,Field,1,1
57,org/apache/commons/imaging/formats/bmp/BmpImageContents,bmp,62,org/apache/commons/imaging/formats/bmp/PixelParser,bmp,Field,1,1
57,org/apache/commons/imaging/formats/bmp/BmpImageContents,bmp,56,org/apache/commons/imaging/formats/bmp/BmpHeaderInfo,bmp,Argument,1,1
57,org/apache/commons/imaging/formats/bmp/BmpImageContents,bmp,62,org/apache/commons/imaging/formats/bmp/PixelParser,bmp,Argument,1,1
57,org/apache/commons/imaging/formats/bmp/BmpImageContents,bmp,56,org/apache/commons/imaging/formats/bmp/BmpHeaderInfo,bmp,OwnFieldUse,1,1
57,org/apache/commons/imaging/formats/bmp/BmpImageContents,bmp,62,org/apache/commons/imaging/formats/bmp/PixelParser,bmp,OwnFieldUse,1,1
116,org/apache/commons/imaging/formats/jpeg/segments/SosSegment,jpeg,114,org/apache/commons/imaging/formats/jpeg/segments/Segment,jpeg,Extends,1,1
116,org/apache/commons/imaging/formats/jpeg/segments/SosSegment,jpeg,114,org/apache/commons/imaging/formats/jpeg/segments/Segment,jpeg,ConstructorCall,1,1
116,org/apache/commons/imaging/formats/jpeg/segments/SosSegment,jpeg,27,org/apache/commons/imaging/common/BinaryFunctions,common,MethodCall,6,1
258,org/apache/commons/imaging/formats/tiff/taginfos/TagInfoAsciiOrByte,tiff,255,org/apache/commons/imaging/formats/tiff/taginfos/TagInfo,tiff,Extends,1,1
258,org/apache/commons/imaging/formats/tiff/taginfos/TagInfoAsciiOrByte,tiff,227,org/apache/commons/imaging/formats/tiff/constants/TiffDirectoryType,tiff,Argument,1,1
258,org/apache/commons/imaging/formats/tiff/taginfos/TagInfoAsciiOrByte,tiff,235,org/apache/commons/imaging/formats/tiff/fieldtypes/FieldType,tiff,FieldUse,1,1
258,org/apache/commons/imaging/formats/tiff/taginfos/TagInfoAsciiOrByte,tiff,255,org/apache/commons/imaging/formats/tiff/taginfos/TagInfo,tiff,ConstructorCall,1,1
138,org/apache/commons/imaging/formats/png/PngWriter,png,127,org/apache/commons/imaging/formats/png/ChunkType,png,Argument,1,1
138,org/apache/commons/imaging/formats/png/PngWriter,png,127,org/apache/commons/imaging/formats/png/ChunkType,png,FieldUse,14,1
138,org/apache/commons/imaging/formats/png/PngWriter,png,134,org/apache/commons/imaging/formats/png/PngCrc,png,ConstructorCall,1,1
138,org/apache/commons/imaging/formats/png/PngWriter,png,134,org/apache/commons/imaging/formats/png/PngCrc,png,MethodCall,3,1
138,org/apache/commons/imaging/formats/png/PngWriter,png,134,org/apache/commons/imaging/formats/png/PngCrc,png,LocalVar,1,1
138,org/apache/commons/imaging/formats/png/PngWriter,png,132,org/apache/commons/imaging/formats/png/PngColorType,png,MethodCall,3,1
138,org/apache/commons/imaging/formats/png/PngWriter,png,130,org/apache/commons/imaging/formats/png/InterlaceMethod,png,MethodCall,1,1
138,org/apache/commons/imaging/formats/png/PngWriter,png,9,org/apache/commons/imaging/ImageWriteException,base,Throws,4,1
138,org/apache/commons/imaging/formats/png/PngWriter,png,9,org/apache/commons/imaging/ImageWriteException,base,ConstructorCall,9,1
138,org/apache/commons/imaging/formats/png/PngWriter,png,326,org/apache/commons/imaging/palette/Palette,palette,Argument,2,0
138,org/apache/commons/imaging/formats/png/PngWriter,png,326,org/apache/commons/imaging/palette/Palette,palette,MethodCall,5,0
138,org/apache/commons/imaging/formats/png/PngWriter,png,132,org/apache/commons/imaging/formats/png/PngColorType,png,Argument,1,1
138,org/apache/commons/imaging/formats/png/PngWriter,png,327,org/apache/commons/imaging/palette/PaletteFactory,palette,ConstructorCall,3,0
138,org/apache/commons/imaging/formats/png/PngWriter,png,327,org/apache/commons/imaging/palette/PaletteFactory,palette,MethodCall,4,0
138,org/apache/commons/imaging/formats/png/PngWriter,png,313,org/apache/commons/imaging/internal/Debug,internal,MethodCall,5,0
138,org/apache/commons/imaging/formats/png/PngWriter,png,132,org/apache/commons/imaging/formats/png/PngColorType,png,FieldUse,7,1
138,org/apache/commons/imaging/formats/png/PngWriter,png,133,org/apache/commons/imaging/formats/png/PngConstants,png,FieldUse,1,1
138,org/apache/commons/imaging/formats/png/PngWriter,png,25,org/apache/commons/imaging/common/BinaryConstant,common,MethodCall,1,0
138,org/apache/commons/imaging/formats/png/PngWriter,png,130,org/apache/commons/imaging/formats/png/InterlaceMethod,png,FieldUse,1,1
138,org/apache/commons/imaging/formats/png/PngWriter,png,13,org/apache/commons/imaging/PixelDensity,base,MethodCall,5,1
138,org/apache/commons/imaging/formats/png/PngWriter,png,131,org/apache/commons/imaging/formats/png/PhysicalScale,png,MethodCall,3,1
138,org/apache/commons/imaging/formats/png/PngWriter,png,128,org/apache/commons/imaging/formats/png/FilterType,png,FieldUse,1,1
138,org/apache/commons/imaging/formats/png/PngWriter,png,128,org/apache/commons/imaging/formats/png/FilterType,png,MethodCall,1,1
138,org/apache/commons/imaging/formats/png/PngWriter,png,132,org/apache/commons/imaging/formats/png/PngColorType,png,LocalVar,3,1
138,org/apache/commons/imaging/formats/png/PngWriter,png,130,org/apache/commons/imaging/formats/png/InterlaceMethod,png,LocalVar,1,1
138,org/apache/commons/imaging/formats/png/PngWriter,png,327,org/apache/commons/imaging/palette/PaletteFactory,palette,LocalVar,1,0
138,org/apache/commons/imaging/formats/png/PngWriter,png,13,org/apache/commons/imaging/PixelDensity,base,LocalVar,1,1
138,org/apache/commons/imaging/formats/png/PngWriter,png,131,org/apache/commons/imaging/formats/png/PhysicalScale,png,LocalVar,1,1
138,org/apache/commons/imaging/formats/png/PngWriter,png,137,org/apache/commons/imaging/formats/png/PngText,png,LocalVar,1,1
138,org/apache/commons/imaging/formats/png/PngWriter,png,326,org/apache/commons/imaging/palette/Palette,palette,LocalVar,1,0
