Source_ID,Source,Source_Module,Target_ID,Target,Target_Module,Dependency_Type,Dependency_Count,Allowed
418,net/sf/jabref/logic/cleanup/RenamePdfCleanup,logic,900,net/sf/jabref/model/cleanup/CleanupJob,model,Implements,1,1
418,net/sf/jabref/logic/cleanup/RenamePdfCleanup,logic,905,net/sf/jabref/model/database/BibDatabaseContext,model,Field,1,1
418,net/sf/jabref/logic/cleanup/RenamePdfCleanup,logic,743,net/sf/jabref/logic/layout/LayoutFormatterPreferences,logic,Field,1,1
418,net/sf/jabref/logic/cleanup/RenamePdfCleanup,logic,964,net/sf/jabref/model/metadata/FileDirectoryPreferences,model,Field,1,1
418,net/sf/jabref/logic/cleanup/RenamePdfCleanup,logic,905,net/sf/jabref/model/database/BibDatabaseContext,model,Argument,1,1
418,net/sf/jabref/logic/cleanup/RenamePdfCleanup,logic,743,net/sf/jabref/logic/layout/LayoutFormatterPreferences,logic,Argument,1,1
418,net/sf/jabref/logic/cleanup/RenamePdfCleanup,logic,964,net/sf/jabref/model/metadata/FileDirectoryPreferences,model,Argument,1,1
418,net/sf/jabref/logic/cleanup/RenamePdfCleanup,logic,905,net/sf/jabref/model/database/BibDatabaseContext,model,OwnFieldUse,5,1
418,net/sf/jabref/logic/cleanup/RenamePdfCleanup,logic,743,net/sf/jabref/logic/layout/LayoutFormatterPreferences,logic,OwnFieldUse,2,1
418,net/sf/jabref/logic/cleanup/RenamePdfCleanup,logic,964,net/sf/jabref/model/metadata/FileDirectoryPreferences,model,OwnFieldUse,3,1
418,net/sf/jabref/logic/cleanup/RenamePdfCleanup,logic,922,net/sf/jabref/model/entry/BibEntry,model,Argument,1,1
418,net/sf/jabref/logic/cleanup/RenamePdfCleanup,logic,896,net/sf/jabref/model/FieldChange,model,Returns,1,1
418,net/sf/jabref/logic/cleanup/RenamePdfCleanup,logic,358,net/sf/jabref/logic/TypedBibEntry,logic,ConstructorCall,1,1
418,net/sf/jabref/logic/cleanup/RenamePdfCleanup,logic,358,net/sf/jabref/logic/TypedBibEntry,logic,MethodCall,2,1
418,net/sf/jabref/logic/cleanup/RenamePdfCleanup,logic,944,net/sf/jabref/model/entry/ParsedFileField,model,MethodCall,3,1
418,net/sf/jabref/logic/cleanup/RenamePdfCleanup,logic,905,net/sf/jabref/model/database/BibDatabaseContext,model,MethodCall,3,1
418,net/sf/jabref/logic/cleanup/RenamePdfCleanup,logic,878,net/sf/jabref/logic/util/io/FileUtil,logic,MethodCall,4,1
418,net/sf/jabref/logic/cleanup/RenamePdfCleanup,logic,866,net/sf/jabref/logic/util/OS,logic,FieldUse,2,1
418,net/sf/jabref/logic/cleanup/RenamePdfCleanup,logic,944,net/sf/jabref/model/entry/ParsedFileField,model,ConstructorCall,1,1
418,net/sf/jabref/logic/cleanup/RenamePdfCleanup,logic,944,net/sf/jabref/model/entry/ParsedFileField,model,LocalVar,3,1
