Source_ID,Source,Source_Module,Target_ID,Target,Target_Module,Dependency_Type,Dependency_Count,Allowed
108,org/apache/lucene/index/MultiReader,index,86,org/apache/lucene/index/IndexReader,index,Extends,1,1
108,org/apache/lucene/index/MultiReader,index,86,org/apache/lucene/index/IndexReader,index,Field,1,1
108,org/apache/lucene/index/MultiReader,index,86,org/apache/lucene/index/IndexReader,index,Argument,3,1
108,org/apache/lucene/index/MultiReader,index,86,org/apache/lucene/index/IndexReader,index,ConstructorCall,3,1
108,org/apache/lucene/index/MultiReader,index,86,org/apache/lucene/index/IndexReader,index,MethodCall,29,1
108,org/apache/lucene/index/MultiReader,index,86,org/apache/lucene/index/IndexReader,index,OwnFieldUse,40,1
108,org/apache/lucene/index/MultiReader,index,442,org/apache/lucene/util/MapBackedSet,util,ConstructorCall,1,1
108,org/apache/lucene/index/MultiReader,index,455,org/apache/lucene/util/ReaderUtil,util,MethodCall,1,1
108,org/apache/lucene/index/MultiReader,index,68,org/apache/lucene/index/Fields,index,Returns,1,1
108,org/apache/lucene/index/MultiReader,index,46,org/apache/lucene/index/CorruptIndexException,index,Throws,7,1
108,org/apache/lucene/index/MultiReader,index,86,org/apache/lucene/index/IndexReader,index,Returns,3,1
108,org/apache/lucene/index/MultiReader,index,424,org/apache/lucene/util/Bits,util,Returns,1,1
108,org/apache/lucene/index/MultiReader,index,144,org/apache/lucene/index/TermFreqVector,index,Returns,2,1
108,org/apache/lucene/index/MultiReader,index,149,org/apache/lucene/index/TermVectorMapper,index,Argument,2,1
108,org/apache/lucene/index/MultiReader,index,29,org/apache/lucene/document/Document,document,Returns,1,1
108,org/apache/lucene/index/MultiReader,index,31,org/apache/lucene/document/FieldSelector,document,Argument,1,1
108,org/apache/lucene/index/MultiReader,index,47,org/apache/lucene/index/DirectoryReader,index,MethodCall,2,1
108,org/apache/lucene/index/MultiReader,index,143,org/apache/lucene/index/Term,index,Argument,1,1
108,org/apache/lucene/index/MultiReader,index,427,org/apache/lucene/util/BytesRef,util,Argument,1,1
143,org/apache/lucene/index/Term,index,427,org/apache/lucene/util/BytesRef,util,Field,2,1
143,org/apache/lucene/index/Term,index,427,org/apache/lucene/util/BytesRef,util,Argument,4,1
143,org/apache/lucene/index/Term,index,463,org/apache/lucene/util/StringHelper,util,MethodCall,2,1
143,org/apache/lucene/index/Term,index,427,org/apache/lucene/util/BytesRef,util,OwnFieldUse,17,1
143,org/apache/lucene/index/Term,index,427,org/apache/lucene/util/BytesRef,util,ConstructorCall,4,1
143,org/apache/lucene/index/Term,index,427,org/apache/lucene/util/BytesRef,util,MethodCall,6,1
143,org/apache/lucene/index/Term,index,427,org/apache/lucene/util/BytesRef,util,Returns,1,1
283,org/apache/lucene/search/PhraseQuery,search,290,org/apache/lucene/search/Query,search,Extends,1,1
283,org/apache/lucene/search/PhraseQuery,search,143,org/apache/lucene/index/Term,index,Field,1,1
283,org/apache/lucene/search/PhraseQuery,search,290,org/apache/lucene/search/Query,search,ConstructorCall,1,1
283,org/apache/lucene/search/PhraseQuery,search,143,org/apache/lucene/index/Term,index,Argument,3,1
283,org/apache/lucene/search/PhraseQuery,search,143,org/apache/lucene/index/Term,index,MethodCall,4,1
283,org/apache/lucene/search/PhraseQuery,search,143,org/apache/lucene/index/Term,index,Returns,1,1
283,org/apache/lucene/search/PhraseQuery,search,143,org/apache/lucene/index/Term,index,ConstructorCall,1,1
283,org/apache/lucene/search/PhraseQuery,search,290,org/apache/lucene/search/Query,search,Returns,1,1
283,org/apache/lucene/search/PhraseQuery,search,86,org/apache/lucene/index/IndexReader,index,Argument,1,1
283,org/apache/lucene/search/PhraseQuery,search,310,org/apache/lucene/search/TermQuery,search,ConstructorCall,2,1
283,org/apache/lucene/search/PhraseQuery,search,310,org/apache/lucene/search/TermQuery,search,MethodCall,1,1
283,org/apache/lucene/search/PhraseQuery,search,290,org/apache/lucene/search/Query,search,MethodCall,3,1
283,org/apache/lucene/search/PhraseQuery,search,324,org/apache/lucene/search/Weight,search,Returns,1,1
283,org/apache/lucene/search/PhraseQuery,search,272,org/apache/lucene/search/IndexSearcher,search,Argument,1,1
283,org/apache/lucene/search/PhraseQuery,search,466,org/apache/lucene/util/ToStringUtils,util,MethodCall,1,1
192,org/apache/lucene/index/codecs/intblock/FixedIntBlockIndexInput,index,207,org/apache/lucene/index/codecs/sep/IntIndexInput,index,Extends,1,1
192,org/apache/lucene/index/codecs/intblock/FixedIntBlockIndexInput,index,391,org/apache/lucene/store/IndexInput,store,Field,1,1
192,org/apache/lucene/index/codecs/intblock/FixedIntBlockIndexInput,index,391,org/apache/lucene/store/IndexInput,store,Argument,2,1
192,org/apache/lucene/index/codecs/intblock/FixedIntBlockIndexInput,index,207,org/apache/lucene/index/codecs/sep/IntIndexInput,index,ConstructorCall,1,1
192,org/apache/lucene/index/codecs/intblock/FixedIntBlockIndexInput,index,391,org/apache/lucene/store/IndexInput,store,OwnFieldUse,3,1
192,org/apache/lucene/index/codecs/intblock/FixedIntBlockIndexInput,index,391,org/apache/lucene/store/IndexInput,store,MethodCall,3,1
216,org/apache/lucene/index/codecs/simpletext/SimpleTextFieldsWriter,index,172,org/apache/lucene/index/codecs/FieldsConsumer,index,Extends,1,1
216,org/apache/lucene/index/codecs/simpletext/SimpleTextFieldsWriter,index,392,org/apache/lucene/store/IndexOutput,store,Field,1,1
216,org/apache/lucene/index/codecs/simpletext/SimpleTextFieldsWriter,index,427,org/apache/lucene/util/BytesRef,util,Field,7,1
216,org/apache/lucene/index/codecs/simpletext/SimpleTextFieldsWriter,index,135,org/apache/lucene/index/SegmentWriteState,index,Argument,1,1
216,org/apache/lucene/index/codecs/simpletext/SimpleTextFieldsWriter,index,172,org/apache/lucene/index/codecs/FieldsConsumer,index,ConstructorCall,1,1
216,org/apache/lucene/index/codecs/simpletext/SimpleTextFieldsWriter,index,427,org/apache/lucene/util/BytesRef,util,ConstructorCall,7,1
216,org/apache/lucene/index/codecs/simpletext/SimpleTextFieldsWriter,index,427,org/apache/lucene/util/BytesRef,util,OwnFieldUse,11,1
216,org/apache/lucene/index/codecs/simpletext/SimpleTextFieldsWriter,index,135,org/apache/lucene/index/SegmentWriteState,index,FieldUse,3,1
216,org/apache/lucene/index/codecs/simpletext/SimpleTextFieldsWriter,index,214,org/apache/lucene/index/codecs/simpletext/SimpleTextCodec,index,MethodCall,1,1
