Source_ID,Source,Source_Module,Target_ID,Target,Target_Module,Dependency_Type,Dependency_Count,Allowed
7,org/processmining/contexts/scripting/ScriptExecutor,prom.domain.contexts,111,org/processmining/framework/plugin/PluginContext,prom.framework,Field,1,1
7,org/processmining/contexts/scripting/ScriptExecutor,prom.domain.contexts,8,org/processmining/contexts/scripting/Signature,prom.domain.contexts,Field,2,1
7,org/processmining/contexts/scripting/ScriptExecutor,prom.domain.contexts,111,org/processmining/framework/plugin/PluginContext,prom.framework,Argument,1,1
7,org/processmining/contexts/scripting/ScriptExecutor,prom.domain.contexts,111,org/processmining/framework/plugin/PluginContext,prom.framework,OwnFieldUse,5,1
7,org/processmining/contexts/scripting/ScriptExecutor,prom.domain.contexts,113,org/processmining/framework/plugin/PluginDescriptor,prom.framework,Returns,1,1
7,org/processmining/contexts/scripting/ScriptExecutor,prom.domain.contexts,111,org/processmining/framework/plugin/PluginContext,prom.framework,MethodCall,2,1
7,org/processmining/contexts/scripting/ScriptExecutor,prom.domain.contexts,116,org/processmining/framework/plugin/PluginManager,prom.framework,MethodCall,2,1
7,org/processmining/contexts/scripting/ScriptExecutor,prom.domain.contexts,78,org/processmining/framework/boot/Boot,prom.framework,FieldUse,2,1
7,org/processmining/contexts/scripting/ScriptExecutor,prom.domain.contexts,113,org/processmining/framework/plugin/PluginDescriptor,prom.framework,MethodCall,11,1
7,org/processmining/contexts/scripting/ScriptExecutor,prom.domain.contexts,8,org/processmining/contexts/scripting/Signature,prom.domain.contexts,MethodCall,12,1
7,org/processmining/contexts/scripting/ScriptExecutor,prom.domain.contexts,8,org/processmining/contexts/scripting/Signature,prom.domain.contexts,LocalVar,5,1
7,org/processmining/contexts/scripting/ScriptExecutor,prom.domain.contexts,113,org/processmining/framework/plugin/PluginDescriptor,prom.framework,LocalVar,3,1
7,org/processmining/contexts/scripting/ScriptExecutor,prom.domain.contexts,8,org/processmining/contexts/scripting/Signature,prom.domain.contexts,Returns,2,1
7,org/processmining/contexts/scripting/ScriptExecutor,prom.domain.contexts,113,org/processmining/framework/plugin/PluginDescriptor,prom.framework,Argument,1,1
7,org/processmining/contexts/scripting/ScriptExecutor,prom.domain.contexts,123,org/processmining/framework/plugin/annotations/CLI,prom.framework,MethodCall,1,1
7,org/processmining/contexts/scripting/ScriptExecutor,prom.domain.contexts,173,org/processmining/framework/util/StringUtils,prom.framework,MethodCall,1,1
7,org/processmining/contexts/scripting/ScriptExecutor,prom.domain.contexts,8,org/processmining/contexts/scripting/Signature,prom.domain.contexts,ConstructorCall,1,1
44,org/processmining/contexts/uitopia/model/ProMTask,prom.domain.contexts,136,org/processmining/framework/plugin/events/ProgressEventListener,prom.framework,Implements,1,1
44,org/processmining/contexts/uitopia/model/ProMTask,prom.domain.contexts,132,org/processmining/framework/plugin/events/Logger,prom.framework,Implements,1,1
44,org/processmining/contexts/uitopia/model/ProMTask,prom.domain.contexts,134,org/processmining/framework/plugin/events/PluginLifeCycleEventListener,prom.framework,Implements,1,1
