Source_ID,Source,Source_Module,Target_ID,Target,Target_Module,Dependency_Type,Dependency_Count,Allowed
15,com/eteks/sweethome3d/io/DefaultHomeInputStream,sweetHome3DIO,49,com/eteks/sweethome3d/model/Home,sweetHome3DModel,Returns,1,1
26,com/eteks/sweethome3d/j3d/OBJLoader,sweetHome3DJava3D,27,com/eteks/sweethome3d/j3d/OBJMaterial,sweetHome3DJava3D,MethodCall,15,1
26,com/eteks/sweethome3d/j3d/OBJLoader,sweetHome3DJava3D,27,com/eteks/sweethome3d/j3d/OBJMaterial,sweetHome3DJava3D,Returns,1,1
26,com/eteks/sweethome3d/j3d/OBJLoader,sweetHome3DJava3D,27,com/eteks/sweethome3d/j3d/OBJMaterial,sweetHome3DJava3D,ConstructorCall,1,1
78,com/eteks/sweethome3d/model/UserPreferences,sweetHome3DModel,74,com/eteks/sweethome3d/model/TextStyle,sweetHome3DModel,Field,2,1
78,com/eteks/sweethome3d/model/UserPreferences,sweetHome3DModel,47,com/eteks/sweethome3d/model/FurnitureCatalog,sweetHome3DModel,Field,1,1
78,com/eteks/sweethome3d/model/UserPreferences,sweetHome3DModel,76,com/eteks/sweethome3d/model/TexturesCatalog,sweetHome3DModel,Field,1,1
78,com/eteks/sweethome3d/model/UserPreferences,sweetHome3DModel,66,com/eteks/sweethome3d/model/PatternsCatalog,sweetHome3DModel,Field,1,1
78,com/eteks/sweethome3d/model/UserPreferences,sweetHome3DModel,62,com/eteks/sweethome3d/model/LengthUnit,sweetHome3DModel,Field,1,1
78,com/eteks/sweethome3d/model/UserPreferences,sweetHome3DModel,75,com/eteks/sweethome3d/model/TextureImage,sweetHome3DModel,Field,1,1
78,com/eteks/sweethome3d/model/UserPreferences,sweetHome3DModel,68,com/eteks/sweethome3d/model/RecorderException,sweetHome3DModel,Throws,3,1
78,com/eteks/sweethome3d/model/UserPreferences,sweetHome3DModel,47,com/eteks/sweethome3d/model/FurnitureCatalog,sweetHome3DModel,Returns,1,1
78,com/eteks/sweethome3d/model/UserPreferences,sweetHome3DModel,47,com/eteks/sweethome3d/model/FurnitureCatalog,sweetHome3DModel,OwnFieldUse,2,1
78,com/eteks/sweethome3d/model/UserPreferences,sweetHome3DModel,47,com/eteks/sweethome3d/model/FurnitureCatalog,sweetHome3DModel,Argument,1,1
78,com/eteks/sweethome3d/model/UserPreferences,sweetHome3DModel,76,com/eteks/sweethome3d/model/TexturesCatalog,sweetHome3DModel,Returns,1,1
78,com/eteks/sweethome3d/model/UserPreferences,sweetHome3DModel,76,com/eteks/sweethome3d/model/TexturesCatalog,sweetHome3DModel,OwnFieldUse,2,1
78,com/eteks/sweethome3d/model/UserPreferences,sweetHome3DModel,76,com/eteks/sweethome3d/model/TexturesCatalog,sweetHome3DModel,Argument,1,1
78,com/eteks/sweethome3d/model/UserPreferences,sweetHome3DModel,66,com/eteks/sweethome3d/model/PatternsCatalog,sweetHome3DModel,Returns,1,1
78,com/eteks/sweethome3d/model/UserPreferences,sweetHome3DModel,66,com/eteks/sweethome3d/model/PatternsCatalog,sweetHome3DModel,OwnFieldUse,2,1
78,com/eteks/sweethome3d/model/UserPreferences,sweetHome3DModel,66,com/eteks/sweethome3d/model/PatternsCatalog,sweetHome3DModel,Argument,1,1
78,com/eteks/sweethome3d/model/UserPreferences,sweetHome3DModel,62,com/eteks/sweethome3d/model/LengthUnit,sweetHome3DModel,Returns,1,1
78,com/eteks/sweethome3d/model/UserPreferences,sweetHome3DModel,62,com/eteks/sweethome3d/model/LengthUnit,sweetHome3DModel,OwnFieldUse,4,1
78,com/eteks/sweethome3d/model/UserPreferences,sweetHome3DModel,62,com/eteks/sweethome3d/model/LengthUnit,sweetHome3DModel,Argument,1,1
78,com/eteks/sweethome3d/model/UserPreferences,sweetHome3DModel,75,com/eteks/sweethome3d/model/TextureImage,sweetHome3DModel,Returns,1,1
78,com/eteks/sweethome3d/model/UserPreferences,sweetHome3DModel,75,com/eteks/sweethome3d/model/TextureImage,sweetHome3DModel,OwnFieldUse,4,1
78,com/eteks/sweethome3d/model/UserPreferences,sweetHome3DModel,75,com/eteks/sweethome3d/model/TextureImage,sweetHome3DModel,Argument,1,1
78,com/eteks/sweethome3d/model/UserPreferences,sweetHome3DModel,71,com/eteks/sweethome3d/model/Selectable,sweetHome3DModel,Argument,1,1
78,com/eteks/sweethome3d/model/UserPreferences,sweetHome3DModel,74,com/eteks/sweethome3d/model/TextStyle,sweetHome3DModel,Returns,1,1
