Source_ID,Source,Source_Module,Target_ID,Target,Target_Module,Dependency_Type,Dependency_Count,Allowed
562,teammates/ui/controller/InstructorCourseEditPageAction,ui.controller,520,teammates/ui/controller/Action,ui.controller,Extends,1,1
562,teammates/ui/controller/InstructorCourseEditPageAction,ui.controller,520,teammates/ui/controller/Action,ui.controller,ConstructorCall,1,1
562,teammates/ui/controller/InstructorCourseEditPageAction,ui.controller,97,teammates/common/exception/EntityDoesNotExistException,common.exception,Throws,1,1
562,teammates/ui/controller/InstructorCourseEditPageAction,ui.controller,522,teammates/ui/controller/ActionResult,ui.controller,Returns,1,1
562,teammates/ui/controller/InstructorCourseEditPageAction,ui.controller,112,teammates/common/util/Assumption,common.util,MethodCall,1,1
562,teammates/ui/controller/InstructorCourseEditPageAction,ui.controller,150,teammates/logic/api/Logic,logic.api,OwnFieldUse,6,1
562,teammates/ui/controller/InstructorCourseEditPageAction,ui.controller,59,teammates/common/datatransfer/attributes/AccountAttributes,common.dataTransfer,OwnFieldUse,2,1
562,teammates/ui/controller/InstructorCourseEditPageAction,ui.controller,59,teammates/common/datatransfer/attributes/AccountAttributes,common.dataTransfer,FieldUse,1,1
562,teammates/ui/controller/InstructorCourseEditPageAction,ui.controller,150,teammates/logic/api/Logic,logic.api,MethodCall,6,1
562,teammates/ui/controller/InstructorCourseEditPageAction,ui.controller,149,teammates/logic/api/GateKeeper,logic.api,OwnFieldUse,1,1
562,teammates/ui/controller/InstructorCourseEditPageAction,ui.controller,149,teammates/logic/api/GateKeeper,logic.api,MethodCall,1,1
562,teammates/ui/controller/InstructorCourseEditPageAction,ui.controller,66,teammates/common/datatransfer/attributes/FeedbackSessionAttributes,common.dataTransfer,MethodCall,1,1
562,teammates/ui/controller/InstructorCourseEditPageAction,ui.controller,659,teammates/ui/pagedata/InstructorCourseEditPageData,ui.view,ConstructorCall,1,1
562,teammates/ui/controller/InstructorCourseEditPageAction,ui.controller,66,teammates/common/datatransfer/attributes/FeedbackSessionAttributes,common.dataTransfer,LocalVar,2,1
562,teammates/ui/controller/InstructorCourseEditPageAction,ui.controller,67,teammates/common/datatransfer/attributes/InstructorAttributes,common.dataTransfer,LocalVar,2,1
