File_ID,File,Entity,Code,Module,Closeness_Centrality
1,ant/AntClassLoader,org/apache/tools/ant/AntClassLoader,resourceName pathElementsIndex nextResource name hasMoreElements nextElement ret findNextResource pathComponent url,ant,0.2860383023941009
2,ant/AntTypeDefinition,org/apache/tools/ant/AntTypeDefinition,name clazz adapterClass adaptToClass className classLoader restrict setRestrict restrict isRestrict setName name getName setClass clazz setClassName className getClassName setAdapterClass adapterClass setAdaptToClass adaptToClass setClassLoader classLoader getClassLoader getExposedClass project getTypeClass Could not load a dependent class   for type Could not load class   for type ncdfe cnfe project innerGetTypeClass create project icreate project adapterObject checkClass Unable to create class for Unable to create adapter object adapter project createAndSet Could not create type due to Type A class needed by class cannot be found Could not create type as the class has no compatible constructor Could not create type as the class is abstract Could not create type as the constructor is not accessible Could not create type due to ex msg ncdfe nsme nsme project innerCreateAndSet org.apache.tools.ant.Project nse newclass project ctor noArg sameDefinition other project similarDefinition other project oldLoader newLoader extractClassname null class x1 x0,ant,0.21523674239556104
3,ant/BuildEvent,org/apache/tools/ant/BuildEvent,project target task message priority exception project target task setMessage message priority setException exception getProject getTarget getTask getMessage getPriority getException,ant,0.2831113988347194
4,ant/BuildException,org/apache/tools/ant/BuildException,cause location message message cause msg cause location cause message location cause location getException getCause toString setLocation location getLocation printStackTrace printStackTrace  Nested Exception  ps printStackTrace  Nested Exception  pw,ant,0.6014718453504414
5,ant/BuildListener,org/apache/tools/ant/BuildListener,buildStarted buildFinished targetStarted targetFinished taskStarted taskFinished messageLogged,ant,0.2794717665264677
6,ant/BuildLogger,org/apache/tools/ant/BuildLogger,setMessageOutputLevel setOutputPrintStream setEmacsMode setErrorPrintStream,ant,0.20960382489485077
7,ant/ComponentHelper,org/apache/tools/ant/ComponentHelper,restrictedDefinitions antTypeTable taskClassDefinitions rebuildTaskClassDefinitions typeClassDefinitions rebuildTypeClassDefinitions checkedNamespaces antLibStack antLibCurrentUri next project ERRORNOTASKLISTLOAD Cant load default task list ERRORNOTYPELISTLOAD Cant load default type list COMPONENTHELPERREFERENCE ant.ComponentHelper BUILDSYSCLASSPATHONLY only ANTPROPERTYTASK property defaultDefinitions getProject getComponentHelper ant.ComponentHelper ant.ComponentHelper project ph setNext next getNext setProject project initSubProject def entry helper typeTable createComponent task ue ns componentType component createComponent componentName def getComponentClass componentName def getDefinition componentName initDefaultDefinitions addTaskDefinition org.apache.tools.ant.TaskAdapter org.apache.tools.ant.Task taskName taskClass def checkTaskClass is not public is abstract No public noarg constructor in org.apache.tools.ant.Task message message message taskClass getTaskDefinitions org.apache.tools.ant.Task name clazz getDataTypeDefinitions org.apache.tools.ant.Task name clazz getRestrictedDefinitions componentName addDataTypeDefinition User datatype typeName typeClass def addDataTypeDefinition def getAntTypeTable createTask property property org.apache.tools.ant.taskdefs.Property taskType task createNewTask org.apache.tools.ant.Task Expected a Task from   but got an instance of instead Task taskType obj task createDataType typeName getElementName element getElementName The   type name def brief elementClass elementClassname getElementName brief getUnmappedElementName name brief validDefinition def sameDefinition def old defValid sameValidity updateRestrictedDefinition current list def name updateDataTypeDefinition org.apache.tools.ant.Task Trying to override old definition of task datatype Datatype oldClass isTask old def name enterAntLib uri getCurrentAntlibUri exitAntLib initTasks org.apache.tools.ant.Task org.apache.tools.ant.TaskAdapter name className def classLoader props getClassLoader build.sysclasspath only classLoader buildSysclasspath getDefaultDefinitions orgapachetoolsanttypesdefaults.properties orgapachetoolsanttaskdefsdefaults.properties Cant load default type list Cant load default task list org.apache.tools.ant.ComponentHelper resource errorString in type idx initTypes name className def classLoader props checkNamespace antliborg.apache.tools.ant antlib ignore componentName uri definer diagnoseCreationFailure Problem failed to create user.home ant.home lib ANTHOME lib the IDE Ant configuration dialogs a directory added on the command line with the lib argument org.apache.tools.ant. org.apache.tools.ant.taskdefs.optional org.apache.tools.ant.types.optional The component could be instantiated. Cause The class has no compatible constructor. Cause The class is abstract and cannot be instantiated. Cause The constructor for is private and cannot be invoked. Cause The constructor threw the exception Cause  A class needed by class cannot be found Action Determine what extra JAR files are needed and place them in Do not panic this is a common problem. It may just be a typographical error in the build file or the tasktype declaration. The commonest cause is a missing JAR. This is quite a low level problem which may need consultation with the author of the task. This may be the Ant team. Please file a defect or contact the developer team. This does not appear to be a task bundled with Ant. Please take it up with the supplier of the thirdparty If you have written it yourself you probably have a bug to fix. This is not a bug it is a configuration problem antHomeLibDir antHomeLib ncdfe ex ncdfe classname optional clazz antTask componentName type errorText out lowlevel jars definitions home libDir antHomeLib probablyIDE anthome dirListingText tab dirListing def printUnknownDefinition antlib Cause The name is undefined. Action Check the spelling. Action Check that any custom taskstypes have been declared. Action Check that any presetdefmacrodef declarations have taken place. The definitions in the namespace are No types or tasks have been defined in this namespace yet This appears to be an antlib declaration. Action Check that the implementing library exists in one of def local it matches out componentName dirListing isAntlib uri printClassNotFound Cause the class was not found. This looks like one of Ants optional components. Action Check that the appropriate optional JAR exists in Action Check that the component has been correctly declared and that the implementing JAR is in one of out classname optional dirListing printNotLoadDependentClass Cause Could not load a dependent class It is not enough to have Ants optional JARs you need the JAR files that the optional tasks depend upon. Ants optional task dependencies are listed in the manual. This class may be in a separate JAR that is not installed. Action Determine what extra JAR files are needed and place them in one of out optional ncdfe dirListing class x1 x0,ant,0.2895763594170536
8,ant/DefaultLogger,org/apache/tools/ant/DefaultLogger,LEFTCOLUMNSIZE out err msgOutputLevel startTime lSep emacsMode setMessageOutputLevel level setOutputPrintStream output setErrorPrintStream err setEmacsMode emacsMode buildStarted event buildFinished Total time cause event error message msg getBuildFailedMessage BUILD FAILED getBuildSuccessfulMessage BUILD SUCCESSFUL targetStarted msg event targetFinished event taskStarted event taskFinished event messageLogged line first name label size tmp message ex msg event priority formatTime millis printMessage message stream priority log message getTimestamp date formatter finishTime extractProjectName event project,ant,0.20989293361884367
9,ant/DemuxInputStream,org/apache/tools/ant/DemuxInputStream,project project read buffer read buffer offset length,ant,0.20689650152775213
10,ant/DemuxOutputStream,org/apache/tools/ant/DemuxOutputStream,buffer crSeen x0 access102 x0 x1 access202 x0 x1 access100 x0 access200 x0,ant,0.20689650152775213
