File_ID,File,Entity,Code,Module,Closeness_Centrality
1,application/ArgoVersion,org/argouml/application/ArgoVersion,VERSION getVersion,application,0.11643735148297003
2,application/Main,org/argouml/application/Main,i18nlocalize key i18nmessageFormat key iArgs,application,0.0
3,application/PostLoad,org/argouml/application/PostLoad,LOG postLoadActions run post load no sleep post load no sleep2 ex ex size class x1 x0 org.argouml.application.PostLoad,application,0.0013054830287206266
4,application/PreloadClasses,org/argouml/application/PreloadClasses,LOG OPTIONALINTERNALMODULES huntForInternalModules run ActionTestLoadableModule org.argouml.ui.test.ActionTestLoadableModule preloading... org.argouml.kernel.DelayedChangeNotify org.argouml.cognitive.ui.Wizard org.argouml.ui.Clarifier org.argouml.ui.StylePanelFigNodeModelElement org.argouml.uml.GenCompositeClasses org.argouml.uml.cognitive.critics.ClAttributeCompartment org.argouml.uml.cognitive.critics.ClClassName org.argouml.uml.cognitive.critics.ClOperationCompartment org.argouml.uml.diagram.staticstructure.ui.FigClass org.argouml.uml.diagram.staticstructure.ui.FigInterface org.argouml.uml.diagram.staticstructure.ui.FigPackage org.argouml.uml.diagram.staticstructure.ui.SelectionClass org.argouml.uml.diagram.staticstructure.ui.StylePanelFigClass org.argouml.uml.diagram.staticstructure.ui.StylePanelFigInterface org.argouml.uml.diagram.ui.FigAssociation org.argouml.uml.diagram.ui.FigGeneralization org.argouml.uml.diagram.ui.FigRealization org.tigris.gef.base.ModeCreateEdgeAndNode org.argouml.uml.diagram.ui.SPFigEdgeModelElement org.argouml.uml.diagram.ui.SelectionNodeClarifiers org.argouml.uml.ui.foundation.core.PropPanelAssociation org.argouml.uml.ui.foundation.core.PropPanelClass org.argouml.uml.ui.foundation.core.PropPanelInterface org.tigris.gef.base.CmdSetMode org.tigris.gef.base.Geometry org.tigris.gef.base.ModeModify org.tigris.gef.base.ModePlace org.tigris.gef.base.PathConvPercentPlusConst org.tigris.gef.base.SelectionResize org.tigris.gef.event.ModeChangeEvent org.tigris.gef.graph.GraphEdgeHooks org.tigris.gef.graph.GraphEvent org.tigris.gef.graph.presentation.NetEdge org.tigris.gef.presentation.ArrowHeadNone org.tigris.gef.presentation.FigPoly org.tigris.gef.ui.ColorRenderer org.tigris.gef.ui.Swatch org.tigris.gef.util.EnumerationEmpty org.tigris.gef.util.EnumerationSingle preloading error done preloading modules class x1 x0 org.argouml.application.PreloadClasses org.argouml.ui.DeveloperModule,application,0.0013054830287206266
5,application/StartCritics,org/argouml/application/StartCritics,LOG run PostItD0 spawned critiquing thread dsgr models class x1 x0 org.argouml.application.StartCritics,application,0.0013054830287206266
6,application/api/AboutTabPanel,org/argouml/application/api/AboutTabPanel,getTabKey getTabPanel,moduleLoader,0.0
7,application/api/Argo,org/argouml/application/api/Argo,RESOURCEDIR orgargoumlresource ARGOINI orgargoumlargo.ini KEYSTARTUPDIR KEYSPLASH KEYPRELOAD KEYEDEM KEYMOSTRECENTPROJECTFILE KEYMOSTRECENTEXPORTDIRECTORY KEYRELOADRECENTPROJECT KEYNUMBERLASTRECENTUSED KEYSCREENTOPY KEYSCREENLEFTX KEYSCREENWIDTH KEYSCREENHEIGHT KEYSCREENSOUTHWESTWIDTH KEYSCREENNORTHWESTWIDTH KEYSCREENSOUTHEASTWIDTH KEYSCREENNORTHEASTWIDTH KEYSCREENWESTWIDTH KEYSCREENEASTWIDTH KEYSCREENSOUTHHEIGHT KEYSCREENNORTHHEIGHT KEYSCREENTHEME KEYLOOKANDFEELCLASS KEYTHEMECLASS KEYSMOOTHEDGES KEYUSEREMAIL KEYUSERFULLNAME KEYUSERIMPORTCLASSPATH KEYINPUTSOURCEENCODING KEYXMISTRIPDIAGRAMS KEYDEFAULTMODEL KEYUSEREXPLORERPERSPECTIVES KEYLOCALE KEYGRID KEYSNAP CONSOLELOG argo.console.log ARGOCONSOLESUPPRESS argo.console.suppress ARGOCONSOLEPREFIX argo.console.prefix setDirectory dir getDirectory getPlugins pluginType context getPlugins pluginType initializeModules getArgoHome getArgoRoot lookupIconResource arg1 lookupIconResource arg1 arg2 default user dir init splash init preload init edem project mostrecent file project mostrecent exportdirectory init project loadmostrecent project mostrecent maxNumber screen top screen left screen width screen height screen southwest width screen northwest width screen southeast width screen northeast width screen west width screen east width screen south height screen north height screen theme screen lookAndFeelClass screen themeClass screen diagramantialiasing user email user fullname import clazzpath import file encoding import xmi stripDiagrams defaultModel explorer perspectives locale grid snap argo.console.suppress,moduleLoader,0.2576434911182348
8,application/api/ArgoEventListener,org/argouml/application/api/ArgoEventListener,,moduleLoader,0.14604564979364945
9,application/api/ArgoModule,org/argouml/application/api/ArgoModule,MODULEFILENAME .argo.modules MODULEFILENAMEALTERNATE argo.modules initializeModule shutdownModule setModuleEnabled isModuleEnabled getModuleName getModuleDescription getModuleVersion getModuleAuthor getModulePopUpActions getModuleKey,moduleLoader,0.15583117749896053
10,application/api/CommandLineInterface,org/argouml/application/api/CommandLineInterface,doCommand,moduleLoader,0.08410184555503389
