File_ID,File,Entity,Code,Module,Closeness_Centrality
1,ColorTools,org/apache/commons/imaging/ColorTools,correctImage src file icc cs relabelColorSpace bi profile cs relabelColorSpace bi cs cm relabelColorSpace bi cm deriveColorModel bi cs deriveColorModel bi cs forceNoAlpha deriveColorModel Could not clone unknown ColorModel Type. ccm dcm oldMask oldBits colorModel cs forceNoAlpha countBitsInMask count convertToColorSpace bi to from hints op result convertTosRGB bi srgbCM convertFromColorSpace bi from srgbCM convertBetweenICCProfiles bi from to csFrom csTo convertToICCProfile bi to csTo convertBetweenColorSpacesX2 bi from to hints op convertBetweenColorSpaces bi from to hints op result,base,0.026676829268292682
2,FormatCompliance,org/apache/commons/imaging/FormatCompliance,LOGGER failOnError description comments description description failOnError getDefault ignore addComment comment addComment comment value toString sw pw dump pw sw dump Format Compliance No comments. pw getValueDescription value compareBytes Unexpected length expected actual Unexpected value expected actual name expected actual checkBounds bounds check false name min max actual compare name valid actual compare Unexpected value valid actual element name valid actual result LorgapachecommonsimagingFormatCompliance,base,0.04818560380725759
3,ImageDump,org/apache/commons/imaging/ImageDump,LOGGER colorSpaceTypeToName TYPECMYK TYPERGB CSsRGB CSGRAY CSCIEXYZ CSLINEARRGB CSPYCC unknown cs dumpColorSpace type Unknown ColorSpace prefix cs iccColorSpace iccProfile bytes parser info dump src dump dump prefix src dumpBIProps no props key prefix src keys LorgapachecommonsimagingImageDump,base,0.0
4,ImageFormat,org/apache/commons/imaging/ImageFormat,getName getExtension,base,0.07111372318542464
5,ImageFormats,org/apache/commons/imaging/ImageFormats,UNKNOWN BMP DCX GIF ICNS ICO JBIG2 JPEG PAM PSD PBM PGM PNM PPM PCX PNG RGBE TGA TIFF WBMP XBM XPM values valueOf LorgapachecommonsimagingImageFormats name getName getExtension UNKNOWN BMP DCX GIF ICNS ICO JBIG2 JPEG PAM PSD PBM PGM PNM PPM PCX PNG RGBE TGA TIFF WBMP XBM XPM,base,0.06097560975609756
6,ImageInfo,org/apache/commons/imaging/ImageInfo,LOGGER formatDetails bitsPerPixel comments format formatName height mimeType numberOfImages physicalHeightDpi physicalHeightInch physicalWidthDpi physicalWidthInch width progressive transparent usesPalette colorType compressionAlgorithm formatDetails bitsPerPixel comments format formatName height mimeType numberOfImages physicalHeightDpi physicalHeightInch physicalWidthDpi physicalWidthInch width progressive transparent usesPalette colorType compressionAlgorithm getBitsPerPixel getComments getFormat getFormatName getHeight getMimeType getNumberOfImages getPhysicalHeightDpi getPhysicalHeightInch getPhysicalWidthDpi getPhysicalWidthInch getWidth isProgressive getColorType dump toString Image Data Error sw pw toString Format Details Bits Per Pixel Comments Format Format Name Compression Algorithm Height MimeType Number Of Images Physical Height Dpi Physical Height Inch Physical Width Dpi Physical Width Inch Width Is Progressive Is Transparent Color Type Uses Palette pw prefix getFormatDetails isTransparent usesPalette getCompressionAlgorithm LorgapachecommonsimagingImageInfo,base,0.054918164313222086
7,ImageParser,org/apache/commons/imaging/ImageParser,LOGGER getAllImageParsers getMetadata byteSource getMetadata getMetadata bytes getMetadata bytes params getMetadata file getMetadata .getMetadata file params getImageInfo getImageInfo byteSource getImageInfo bytes params getImageInfo file params getFormatCompliance byteSource getFormatCompliance bytes getFormatCompliance file getAllBufferedImages byteSource bi result getAllBufferedImages bytes getAllBufferedImages file getBufferedImage getBufferedImage bytes params getBufferedImage file params writeImage This image format   cannot be written. src os params getImageSize bytes getImageSize bytes params getImageSize file getImageSize file params getImageSize getICCProfileBytes bytes getICCProfileBytes bytes params getICCProfileBytes file getICCProfileBytes file params getICCProfileBytes dumpImageFile bytes dumpImageFile file dumpImageFile byteSource sw pw dumpImageFile pw byteSource getName getDefaultExtension getAcceptedExtensions getAcceptedTypes canAcceptType type2 type types canAcceptExtension file canAcceptExtension ext2Lower ext2 ext fileName exts index getBufferedImageFactory BUFFEREDIMAGEFACTORY params result isStrict STRICT STRICT params LorgapachecommonsimagingImageParser,base,0.050469676994067236
8,ImageReadException,org/apache/commons/imaging/ImageReadException,serialVersionUID message message cause,base,0.38212451861360713
9,ImageWriteException,org/apache/commons/imaging/ImageWriteException,serialVersionUID message message cause message data getType null Object char byte short int long float double boolean value,base,0.25417201540436457
10,Imaging,org/apache/commons/imaging/Imaging,MAGICNUMBERSGIF MAGICNUMBERSPNG MAGICNUMBERSJPEG MAGICNUMBERSBMP MAGICNUMBERSTIFFMOTOROLA MAGICNUMBERSTIFFINTEL MAGICNUMBERSPAM MAGICNUMBERSPSD MAGICNUMBERSPBMA MAGICNUMBERSPBMB MAGICNUMBERSPGMA MAGICNUMBERSPGMB MAGICNUMBERSPPMA MAGICNUMBERSPPMB MAGICNUMBERSJBIG21 MAGICNUMBERSJBIG22 MAGICNUMBERSICNS MAGICNUMBERSDCX MAGICNUMBERSRGBE hasImageFileExtension file hasImageFileExtension extension imageParser fileName normalizedFilename guessFormat bytes guessFormat file compareBytePair Invalid Byte Pair. guessFormat Couldnt read magic numbers to guess format. Couldnt read magic numbers to guess format. i3 i4 b3 b4 bytePair2 i1 i2 b1 b2 bytePair is byteSource getICCProfile bytes getICCProfile bytes params getICCProfile is fileName getICCProfile is fileName params getICCProfile file getICCProfile file params getICCProfile byteSource params bytes parser info getICCProfileBytes bytes getICCProfileBytes bytes params getICCProfileBytes file getICCProfileBytes file params getICCProfileBytes byteSource params imageParser getImageInfo fileName bytes params getImageInfo fileName bytes getImageInfo is fileName getImageInfo is fileName params getImageInfo bytes getImageInfo bytes params getImageInfo file params getImageInfo file getImageInfo byteSource params getImageParser Cant parse this format. imageParser imageParsers imageParser imageParsers byteSource format fileName getImageSize is fileName getImageSize is fileName params getImageSize bytes getImageSize bytes params getImageSize file getImageSize file params getImageSize byteSource params imageParser getXmpXml is fileName getXmpXml is fileName params getXmpXml bytes getXmpXml bytes params getXmpXml file getXmpXml file params getXmpXml byteSource params imageParser getMetadata bytes getMetadata bytes params getMetadata is fileName getMetadata is fileName params getMetadata file getMetadata file params getMetadata byteSource params imageParser dumpImageFile bytes dumpImageFile file dumpImageFile byteSource imageParser getFormatCompliance bytes getFormatCompliance file getFormatCompliance byteSource imageParser getAllBufferedImages is fileName getAllBufferedImages bytes getAllBufferedImages file getAllBufferedImages byteSource imageParser getBufferedImage is getBufferedImage FILENAME FILENAME is params fileName getBufferedImage bytes getBufferedImage bytes params getBufferedImage file getBufferedImage file params getBufferedImage byteSource params imageParser writeImage os fos src file format params writeImageToBytes src format params os writeImage FORMAT Unknown Format imageParser2 src os format params imageParsers imageParser,base,0.029177782012195123
