File_ID,File,Entity,Code,Module,Closeness_Centrality
1,Globals,net/sf/jabref/Globals,BUILDINFO REMOTELISTENER IMPORTFORMATREADER prefs journalAbbreviationLoader protectedTermsLoader keyPrefs focusListener fileUpdateMonitor streamEavesdropper getKeyPrefs startBackgroundTasks FileUpdateMonitor getFocusListener getFileUpdateMonitor getStreamEavesdropper,globals,0.12679964989701312
2,JabRefException,net/sf/jabref/JabRefException,localizedMessage LOGGER message message cause message localizedMessage message localizedMessage cause getLocalizedMessage No localized message exception message defined. Falling back to getMessage. LnetsfjabrefJabRefException,model,0.12362181260908432
3,JabRefExecutorService,net/sf/jabref/JabRefExecutorService,LOGGER INSTANCE executorService startedThreads timer timer execute command executeAndWait Problem executing command command future executeWithLowPriorityInOwnThread JabRef   low prio runnable name target thread executeInOwnThread thread executeWithLowPriorityInOwnThreadAndWait JabRef low prio runnable thread waitForThreadToFinish thread submit timerTask millisecondsDelay shutdownEverything thread lambdanew0 JabRef CachedThreadPool thread LnetsfjabrefguiundoUndoableInsertEntry,logic,0.10180415769654118
4,JabRefGUI,net/sf/jabref/JabRefGUI,LOGGER mainFrame bibDatabases isBlank failed toOpenTab focusedFile lastFocused argsDatabases isBlank checkForNewVersion manualExecution toBeIgnored currentVersion openWindow apple.laf.useScreenMenuBar true swing.aatext true awt.useSystemAAFontSettings lcd openLastEdited Initializing frame Connection error A local copy will be opened. Connection error windowMaximised html Error opening file 0. html Error opening file Finished adding panels pr parserResultIterator pr message pr pr pr panel first tabNumber openLastEditedDatabases lastEdited lastEdited Error opening file dbFile parsedDatabase fileName lastFiles isLoaded pr fileToOpen setLookAndFeel useDefaultLookAndFeel java.runtime.name OpenJDK There seem to be problems with OpenJDK and the default GTK LookFeel. Using Metal LF instead. Change to another LF with caution. lookAndFeel java.runtime.name OpenJDK lookAndFeel Unable to find the requested look and feel and thus the default one is used. Warning Unable to find requested look and feel Look and feel could not be set overrideDefaultFonts menuFontSize .font lookFeel lookFeel lnf lookFeel systemLookFeel font key fontSize defaults keys overrideDefaultFonts getMainFrame setMainFrame mainFrame LnetsfjabrefJabRefGUI,gui,0.09659703423328461
5,JabRefMain,net/sf/jabref/JabRefMain,LOGGER main args start language serializeSpecialFields timeStampField numericFields Arguments passed on to running JabRef instance. Shutting down. newline args preferences proxyPreferences customFormats layoutPreferences savePreferences remotePreferences argumentProcessor lambdastart1 argumentProcessor lambdamain0 args LnetsfjabrefJabRefMain,gui,0.0
6,cli/ArgumentProcessor,net/sf/jabref/cli/ArgumentProcessor,LOGGER cli parserResults startupMode noGUINeeded args startupMode getParserResults hasParserResults processArguments The output option depends on a valid input option. The output option depends on a valid import option. Finished export Cannot export preferences ex loaded exportMatches tablerefsabsbib Output file missing Usage Unknown export format Exporting Could not export file No search matches. formatName formatName ex formatName format loaded data searchTerm pr databaseContext dataBase searchPreferences query matches doAuxImport no baseBibTeXfile specified usage jabref aux infile.auxoutfile.bib baseBibTeXfile usageMsg loaded usageMsg importAndOpenFiles bib bibExtension pr aLeftOver filenameString loaded toImport generateAux bib Saving biblatexMode Warning The chosen encoding 0 could not encode the following characters Could not save file. no database generated prefs databaseWriter defaults session ex subName pr acl newBase notSavedMsg loaded data exportFile Saving biblatexMode Warning The chosen encoding 0 could not encode the following characters Could not save file. The output option depends on a valid import option. Exporting Unknown export format Could not export file prefs defaults databaseWriter session ex pr ex pr theFile databaseContext format loaded data importPreferences Cannot import preferences customFormats layoutPreferences savePreferences ex resetPreferences all Setting all preferences to default values. Unable to clear preferences. Unable to clear preferences Resetting preference key 0 Unknown preference key 0 key keys value automaticallySetFileLinks Automatically setting file links database parserResult loaded regenerateBibtexKeys Regenerating BibTeX keys according to metadata No meta data present in BIBfile. Cannot regenerate BibTeX keys entry database metaData parserResult loaded fetch Expected syntax for fetchname of fetcherquery The following fetchers are available Fetcher Could not find fetcher 0 The following fetchers are available Fetcher Running query 0 with fetcher 1. Please wait... Query 0 with fetcher 1 did not return any results. fetchCommand split engine fetchers fetcher query result isBlank importToOpenBase argument result importFile Importing user.home Unknown import format Importing in unknown format user.home Could not find a suitable import format. Format used Error opening file file file result ex importResult importResult ex argument data printer shouldShutDown lambdaimportToOpenBase0 LnetsfjabrefcliArgumentProcessor,cli,0.052132849502450035
7,cli/AuxCommandLine,net/sf/jabref/cli/AuxCommandLine,auxFile database aux auxFile database perform auxParser result subDatabase,cli,0.04600679994148418
8,cli/CrossrefFetcherEvaluator,net/sf/jabref/cli/CrossrefFetcherEvaluator,main Total DB size Total DOIs DOIs found DOIs identical New DOIs found entry parser result db entries dois doiFound doiNew doiIdentical total countDownLatch executorService reader args,cli,0.0
9,cli/GenerateCharacterTable,net/sf/jabref/cli/GenerateCharacterTable,main documentclass10pt a4paperarticle usepackageT5T1fontenc usepackageamssymb usepackageamsmath usepackagetxfonts usepackagexfrac usepackagecombelow usepackagetextcomp usepackagemathspec usepackagefontspec usepackagea4papermargin1cmgeometry usepackagesupertabular usepackagemathabx fontspecCambria DeclareTextSymbolDefaultOHORNT5 DeclareTextSymbolDefaultUHORNT5 DeclareTextSymbolDefaultohornT5 DeclareTextSymbolDefaultuhornT5 begindocument twocolumn beginsupertabularccccc No.  Uni  Symb  LaTeX  Code    hline  symbol  verb endsupertabular enddocument character args characterMap,cli,0.0
10,cli/ImportInspectionCommandLine,net/sf/jabref/cli/ImportInspectionCommandLine,entries status addEntry entry setProgress Progress 0 of 1 current max query query fetcher,cli,0.04600679994148418
11,cli/JabRefCLI,net/sf/jabref/cli/JabRefCLI,LOGGER leftOver cl Problem parsing arguments args options isHelp help isShowVersion version isBlank blank isLoadSession loads isDisableGui nogui isPreferencesExport prexp getPreferencesExport prexp jabrefprefs.xml isPreferencesImport primp getPreferencesImport primp jabrefprefs.xml isPreferencesReset prdef getPreferencesReset prdef isFileExport output getFileExport output isFileImport import getFileImport import isAuxImport aux getAuxImport aux isImportToOpenBase importToOpen getImportToOpenBase importToOpen isDebugLogging debug isFetcherEngine fetch getFetcherEngine fetch isExportMatches exportMatches getExportMatches exportMatches isGenerateBibtexKeys generateBibtexKeys isAutomaticallySetFileLinks automaticallySetFileLinks getOptions version Display version nogui No GUI. Only process command line options. help Display help on command line options blank Do not open any files at startup debug Show debug level messages import s simport format Import file filename FILE output s sexport format Output or export file filename FILE prexp Export preferences to file FILE primp Import preferences from file FILE prdef Reset preferences key1key2... or all FILE aux s s.auxs.bib Subdatabase from AUX file new FILE importToOpen Import to open tab FILE fetch Run fetcher e.g. fetchMedlinecancer FILE exportMatches FILE generateBibtexKeys Regenerate all keys for the entries in a BibTeX file asfl automaticallySetFileLinks Automatically set file links options displayVersion printUsage snsn Available import formats s sn Available export formats Please report issues at https,cli,0.045883591260810194
12,cli/SystemOutputPrinter,net/sf/jabref/cli/SystemOutputPrinter,setStatus showMessage message title msgType showMessage message,cli,0.046233208081426974
13,cli/XMPUtilMain,net/sf/jabref/cli/XMPUtilMain,main .pdf .bib Could not find BibEntry in x .pdf The given pdf does not contain any XMPmetadata. .bib .pdf Could not find BibEntry in XMP written. .bib .pdf XMP written. Could not find BibEntry in sw entry bibtexEntryWriter result entries fr meta reader result entries result bibEntry args xmpPreferences importFormatPreferences usage Read or write XMPmetadata from or to pdf file. Usage Read from PDF and print as bibtex xmpUtil pdf Read from PDF and print raw XMP xmpUtil x pdf Write the entry in bib given by key to the PDF xmpUtil key bib pdf Write all entries in bib to the PDF xmpUtil bib pdf To report bugs visit http,cli,0.0
14,collab/Change,net/sf/jabref/collab/Change,name accepted name toString isAccepted setAccepted isAcceptable description makeChange,gui,0.06109978861874853
15,collab/ChangeDisplayDialog,net/sf/jabref/collab/ChangeDisplayDialog,tree infoPanel cb rootInfo selected infoShown okPressed External changes Accept change Select the tree nodes to view and accept or reject changes Center South OK Cancel Center South localSecondary owner panel secondary root localSecondary pane infoBorder ok buttonPanel cancel isOkPressed setInfo Center comp valueChanged lambdanew2 Merged external changes allAccepted root panel localSecondary ce enumer anyDisabled lambdanew1 lambdanew0,gui,0.07175779685901143
16,collab/ChangeScanner,net/sf/jabref/collab/ChangeScanner,scanResultsResolved,gui,0.08858713164215828
17,collab/EntryAddChange,net/sf/jabref/collab/EntryAddChange,diskEntry sp Added entry diskEntry pp makeChange panel secondary undoEdit description,gui,0.07175779685901143
18,collab/EntryChange,net/sf/jabref/collab/EntryChange,entry tmpEntry field inMem onDisk tp sp FONT SIZE10H2 Modification of field I IH2 H3 Value set externally H3 H3 Value cleared externally H3 H3 Current value H3 H3 Current tmp value H3 texthtml field memEntry tmpEntry inMem onTmp onDisk text makeChange panel secondary undoEdit description,gui,0.07175779685901143
19,collab/EntryDeleteChange,net/sf/jabref/collab/EntryDeleteChange,memEntry tmpEntry sp LOGGER Deleted entry Modified entry no BibTeX key set Modified locally memEntry tmpEntry matchWithTmp isModifiedLocally pp makeChange panel secondary undoEdit description LnetsfjabrefcollabEntryDeleteChange,gui,0.07175779685901143
20,collab/FileUpdateListener,net/sf/jabref/collab/FileUpdateListener,fileUpdated fileRemoved,logic,0.09273314620947756
21,collab/FileUpdateMonitor,net/sf/jabref/collab/FileUpdateMonitor,LOGGER WAIT numberOfUpdateListener entries run FileUpdateMonitor has been interrupted. Terminating... ex ex addUpdateListener File not found ul file key hasBeenModified ex handle entry perturbTimestamp handle entry removeUpdateListener handle updateTimeStamp Couldnt update timestamp key entry getTempFile Entry not found key entry getTempFile jabref Could not create temporary file. ex temporaryFile access000 LnetsfjabrefcollabFileUpdateMonitor,logic,0.09870320316664097
22,collab/FileUpdatePanel,net/sf/jabref/collab/FileUpdatePanel,manager scanner File changed htmlcenter The fileBR0BRhas been modifiedBRexternally centerhtml Center Review changes South Center panel manager file scanner main message test getPanel componentClosing LnetsfjabrefcollabFileUpdatePanel getRescalingWeight getToggleAction actionPerformed scanResultsResolved resolved,gui,0.0884776296252953
23,collab/GroupChange,net/sf/jabref/collab/GroupChange,changedGroups tmpGroupRoot Removed all groups Modified groups tree changedGroups tmpGroupRoot makeChange Modified groups All entries child child copied panel secondary undoEdit root undo description html Accepting the change replaces the complete groups tree with the externally modified groups tree. html,gui,0.07175779685901143
24,collab/InfoPane,net/sf/jabref/collab/InfoPane,texthtml paint g2,gui,0.060849585715417556
