File_ID,File,Entity,Code,Module,Closeness_Centrality
1,analysis/Analyzer,org/apache/lucene/analysis/Analyzer,tokenStreams assertFinal tokenStream LjavalangString LjavaioReader reusableTokenStream LjavalangString LjavaioReader Analyzer implementation classes or at least their tokenStream and reusableTokenStream implementations must be final tokenStream reusableTokenStream getPreviousTokenStream this Analyzer is closed setPreviousTokenStream this Analyzer is closed getPositionIncrementGap getOffsetGap close LorgapacheluceneanalysisAnalyzer,analysis,0.11266399128483506
2,analysis/CachingTokenFilter,org/apache/lucene/analysis/CachingTokenFilter,cache iterator finalState incrementToken end reset fillCache,analysis,0.0029469548133595285
3,analysis/CharReader,org/apache/lucene/analysis/CharReader,input get correctOffset close read markSupported mark reset,analysis,0.002619515389652914
4,analysis/CharStream,org/apache/lucene/analysis/CharStream,correctOffset,analysis,0.0044204322200392925
5,analysis/CharTokenizer,org/apache/lucene/analysis/CharTokenizer,offset bufferIndex dataLen finalOffset MAXWORDLEN IOBUFFERSIZE termAtt offsetAtt charUtils ioBuffer LorgapacheluceneanalysistokenattributesCharTermAttribute LorgapacheluceneanalysistokenattributesOffsetAttribute LorgapacheluceneanalysistokenattributesCharTermAttribute LorgapacheluceneanalysistokenattributesOffsetAttribute LorgapacheluceneanalysistokenattributesCharTermAttribute LorgapacheluceneanalysistokenattributesOffsetAttribute isTokenChar normalize incrementToken end reset LorgapacheluceneanalysisCharTokenizer,analysis,0.0
6,analysis/NumericTokenStream,org/apache/lucene/analysis/NumericTokenStream,getShift getRawValue getValueSize init setShift incShift,analysis,0.0019646365422396855
7,analysis/Token,org/apache/lucene/analysis/Token,startOffset endOffset type flags payload positionIncrement TOKENATTRIBUTEFACTORY word word word word word word word word setPositionIncrement Increment must be zero or greater getPositionIncrement startOffset setStartOffset endOffset setEndOffset setOffset type setType getFlags setFlags getPayload setPayload clear word clone clone equals hashCode clearNoTermBuffer word reinit reinit word reinit reinit reinit word reinit word reinit reinit reinit copyTo reflectWith LorgapacheluceneanalysistokenattributesOffsetAttribute startOffset LorgapacheluceneanalysistokenattributesOffsetAttribute endOffset LorgapacheluceneanalysistokenattributesPositionIncrementAttribute positionIncrement LorgapacheluceneanalysistokenattributesPayloadAttribute payload LorgapacheluceneanalysistokenattributesFlagsAttribute flags LorgapacheluceneanalysistokenattributesTypeAttribute type,analysis,0.0
8,analysis/TokenFilter,org/apache/lucene/analysis/TokenFilter,input end close reset,analysis,0.003143418467583497
9,analysis/TokenStream,org/apache/lucene/analysis/TokenStream,assertFinal incrementToken TokenStream implementation classes or at least their incrementToken implementation must be final incrementToken end reset close LorgapacheluceneanalysisTokenStream,analysis,0.12675047440317358
10,analysis/Tokenizer,org/apache/lucene/analysis/Tokenizer,input close correctOffset reset,analysis,0.0019646365422396855
11,analysis/tokenattributes/CharTermAttribute,org/apache/lucene/analysis/tokenattributes/CharTermAttribute,copyBuffer buffer resizeBuffer setLength setEmpty append append append append append append,analysis,0.005893909626719057
12,analysis/tokenattributes/CharTermAttributeImpl,org/apache/lucene/analysis/tokenattributes/CharTermAttributeImpl,MINBUFFERSIZE termBuffer termLength copyBuffer buffer resizeBuffer growTermBuffer setLength length exceeds the size of the termBuffer  setEmpty toBytesRef length charAt subSequence append append null append append append append appendNull hashCode clear clone equals toString reflectWith LorgapacheluceneanalysistokenattributesCharTermAttribute term LorgapacheluceneanalysistokenattributesTermToBytesRefAttribute bytes copyTo append append append,analysis,0.0019646365422396855
13,analysis/tokenattributes/FlagsAttribute,org/apache/lucene/analysis/tokenattributes/FlagsAttribute,getFlags setFlags,analysis,0.003929273084479371
14,analysis/tokenattributes/FlagsAttributeImpl,org/apache/lucene/analysis/tokenattributes/FlagsAttributeImpl,flags getFlags setFlags clear equals hashCode copyTo,analysis,0.0
15,analysis/tokenattributes/KeywordAttribute,org/apache/lucene/analysis/tokenattributes/KeywordAttribute,isKeyword setKeyword,analysis,0.0019646365422396855
16,analysis/tokenattributes/KeywordAttributeImpl,org/apache/lucene/analysis/tokenattributes/KeywordAttributeImpl,keyword clear copyTo hashCode equals isKeyword setKeyword,analysis,0.0
17,analysis/tokenattributes/OffsetAttribute,org/apache/lucene/analysis/tokenattributes/OffsetAttribute,startOffset setOffset endOffset,analysis,0.022325415252723697
18,analysis/tokenattributes/OffsetAttributeImpl,org/apache/lucene/analysis/tokenattributes/OffsetAttributeImpl,startOffset endOffset startOffset setOffset endOffset clear equals hashCode copyTo,analysis,0.0
19,analysis/tokenattributes/PayloadAttribute,org/apache/lucene/analysis/tokenattributes/PayloadAttribute,getPayload setPayload,analysis,0.007858546168958742
20,analysis/tokenattributes/PayloadAttributeImpl,org/apache/lucene/analysis/tokenattributes/PayloadAttributeImpl,payload getPayload setPayload clear clone equals hashCode copyTo,analysis,0.0
21,analysis/tokenattributes/PositionIncrementAttribute,org/apache/lucene/analysis/tokenattributes/PositionIncrementAttribute,setPositionIncrement getPositionIncrement,analysis,0.024660587045127993
22,analysis/tokenattributes/PositionIncrementAttributeImpl,org/apache/lucene/analysis/tokenattributes/PositionIncrementAttributeImpl,positionIncrement setPositionIncrement Increment must be zero or greater getPositionIncrement clear equals hashCode copyTo,analysis,0.0
23,analysis/tokenattributes/TermToBytesRefAttribute,org/apache/lucene/analysis/tokenattributes/TermToBytesRefAttribute,toBytesRef,analysis,0.018721830578989945
