File_ID,File,Entity,Code,Module,Closeness_Centrality
1,contexts/cli/CLI,org/processmining/contexts/cli/CLI,main Starting script execution engine... arguments Error while executing  script scripts scriptArguments commandlineArguments globalContext executor params parseCommandLine java help Print this help message and exit list List all available plugins on standard output and exit stdin Read script from standard input script Execute the script given on the command line file Read script from the given file plugin script scriptFile arguments executor parser helpOption listOption stdinOption scriptOption fileOption scripts readFile scriptFile is result readFromStdin readWholeStream is reader result main LorgprocessminingcontextscliCLI LorgprocessminingcontextscliCLIPluginContext args,prom.domain.contexts,0.005128205128205128
2,contexts/cli/CLIContext,org/processmining/contexts/cli/CLIContext,mainPluginContext Main Plugin Context getMainPluginContext getPluginContextType LorgprocessminingcontextscliCLIPluginContext getMainPluginContext,prom.domain.contexts,0.008791208791208791
3,contexts/cli/CLIPluginContext,org/processmining/contexts/cli/CLIPluginContext,executor context label context label createTypedChildContext label getExecutor getProgress getGlobalContext getRootContext getRootContext getGlobalContext,prom.domain.contexts,0.006153846153846155
4,contexts/cli/CLIProgressBar,org/processmining/contexts/cli/CLIProgressBar,context,prom.domain.contexts,0.00641025641025641
5,contexts/cli/PromTestException,org/processmining/contexts/cli/PromTestException,test expected result testScript junitResult test expected result testScript junitResult,prom.domain.contexts,0.0038461538461538464
6,contexts/cli/PromTestFramework,org/processmining/contexts/cli/PromTestFramework,accept .class pathname,prom.domain.contexts,0.0
7,contexts/scripting/ScriptExecutor,org/processmining/contexts/scripting/ScriptExecutor,interpreter context availablePlugins failedPlugins context execute Error. The script tries to access a nonexisting file path Script execution was cancelled. Message e3 e2 script workingPlugins line.separator checking maincontext plugindescriptor pluginmethodindex LjavalangObject LjavalangObject p LorgprocessminingframeworkpluginPluginContext context  maincontext.createChildContextResult of plugindescriptor .invokepluginmethodindex context new LjavalangObject context.getResult.synchronize LjavalangObject result  new LjavalangObject context.getResult.getSize for int i  0 i  result.length i  resulti  context.getResult.getResulti  return result return context.getFutureResult0.get Failed to load plugin Failed to load plugin Missing class cl index signature init pluginInterpreter thisPluginSignatures plugin workingPlugins foundSignatures nl pluginIndex init line.separator maincontext initializing all plugins initializing plugindescriptor pluginmethodindex LjavalangObject LjavalangObject p LorgprocessminingframeworkpluginPluginContext context  maincontext.createChildContextResult of plugindescriptor .invokepluginmethodindex context new LjavalangObject context.getResult.synchronize LjavalangObject result  new LjavalangObject context.getResult.getSize for int i  0 i  result.length i  resulti  context.getResult.getResulti  return result return context.getFutureResult0.get Failed to load one of the plugins. Failed to load one of the plugins. Missing class cl index signature plugin init nl pluginIndex getSignature LorgprocessminingframeworkpluginannotationsCLI LorgprocessminingframeworkpluginannotationsCLI name plugin index name bind name value getAvailablePlugins result,prom.domain.contexts,0.0057692307692307696
8,contexts/scripting/Signature,org/processmining/contexts/scripting/Signature,name parameterTypes returnTypes returnTypes name parameterTypes equals other hashCode getName getParameterTypes getReturnTypes toString toString param type indent1 indent2 result isFirst,prom.domain.contexts,0.008791208791208791
9,contexts/test/AllInclassMethodTests,org/processmining/contexts/test/AllInclassMethodTests,accept .class pathname,prom.domain.contexts,0.007692307692307693
10,contexts/test/AllStandardScriptTests,org/processmining/contexts/test/AllStandardScriptTests,TESTSCRIPTFILEEXTENSION txt getAllTestScripts Collecting scripted tests from txt txt file lookUpDir testScriptFiles dir,prom.domain.contexts,0.0038461538461538464
