File_ID,File,Entity,Code,Module,Closeness_Centrality
1,HomeFrameController,com/eteks/sweethome3d/HomeFrameController,home application viewFactory contentManager pluginManager homeFrameView homeController getView getHomeController displayView,sweetHome3DApplication,0.018072289156626505
2,HomeFramePane,com/eteks/sweethome3d/HomeFramePane,collectionChanged,sweetHome3DApplication,0.010843373493975903
3,MacOSXConfiguration,com/eteks/sweethome3d/MacOSXConfiguration,run,sweetHome3DApplication,0.006024096385542169
4,SweetHome3D,com/eteks/sweethome3d/SweetHome3D,firstApplicationHomeAdded collectionChanged,sweetHome3DApplication,0.006024096385542169
5,SweetHome3DBootstrap,com/eteks/sweethome3d/SweetHome3DBootstrap,main Lcometekssweethome3dSweetHome3DBootstrap iText2.1.5.jar freehepvectorgraphicssvg2.1.1.jar Loader3DS12u.jar sunflow0.07.3c.jar jmf.jar jnlp.jar j3dcore.jar vecmath.jar j3dutils.jar windowsj3dcored3d.dll windowsj3dcoreogl.dll windowsj3dcoreoglcg.dll windowsj3dcoreoglchk.dll macosxgluegenrt.jar macosxjogl.jar macosxlibgluegenrt.jnilib macosxlibjogl.jnilib macosxlibjoglawt.jnilib macosxlibjoglcg.jnilib os.name Linux sun.arch.data.model linuxx64libj3dcoreogl.so linuxi386libj3dcoreogl.so linuxi386libj3dcoreoglcg.so com.eteks.sweethome3d javax.media javax.vecmath com.sun.j3d com.sun.opengl com.sun.gluegen.runtime javax.media.opengl com.sun.media com.ibm.media jmpapps.util com.microcrowd.loader.java3d org.sunflow com.eteks.sweethome3d.SweetHome3D main LjavalangString,sweetHome3DApplication,0.0
6,applet/AppletApplication,com/eteks/sweethome3d/applet/AppletApplication,run,sweetHome3DApplet,0.0
7,applet/AppletContentManager,com/eteks/sweethome3d/applet/AppletContentManager,recorder preferences getPresentationName isAcceptable showOpenDialog Lcometekssweethome3dappletAppletContentManager showOpenDialog.availableHomesError Lcometekssweethome3dappletAppletContentManager showOpenDialog.noAvailableHomes Lcometekssweethome3dappletAppletContentManager showOpenDialog.message showSaveDialog Lcometekssweethome3dappletAppletContentManager showSaveDialog.message Lcometekssweethome3dappletAppletContentManager showSaveDialog.checkHomeError showError Lcometekssweethome3dappletAppletContentManager showError.title,sweetHome3DApplet,0.006024096385542169
8,applet/AppletUserPreferences,com/eteks/sweethome3d/applet/AppletUserPreferences,propertyChange,sweetHome3DApplet,0.006024096385542169
9,applet/HomeAppletController,com/eteks/sweethome3d/applet/HomeAppletController,home application viewFactory newHome open help javax.jnlp.BasicService Lcometekssweethome3dappletHomeAppletController helpIndex exportToSH3D Lcometekssweethome3dappletHomeAppletController exportToSH3DDialog.title Lcometekssweethome3dappletHomeAppletController exportToSH3DMessage access001 access101 access200 access300,sweetHome3DApplet,0.006024096385542169
10,applet/HomeAppletRecorder,com/eteks/sweethome3d/applet/HomeAppletRecorder,writeHomeURL readHomeURL listHomesURL includeOnlyTemporaryContent writeHome POST d3emohteews ContentType multipartformdata charsetUTF8 boundary UTF8 ContentDisposition formdata namehome filename UTF8 ContentType applicationoctetstream UTF8 UTF8 Saving home failed Save interrupted Cant save home readHome s UTF8 ContentType charsetUTF8 Cant close file Read interrupted Cant read home from Missing classes to read home from Cant close file exists getAvailableHomes UTF8 Cant close coonection Cant close coonection Cant read homes from server Cant close coonection,sweetHome3DApplet,0.012048192771084338
11,applet/SweetHome3DApplet,com/eteks/sweethome3d/applet/SweetHome3DApplet,appletApplication init htmlpThis applet may be run under Windows Mac OS X 10.4  10.5 Linux and Solaris.brIt requires Java version 5 or superior.ppPlease check Java version set in Java preferences under Mac OS Xbror update your Java Runtime to the latest version available at java.com under the other systems.p destroy destroy isModified isModified isJava5OrSuperior java.version showError createAppletApplication com.eteks.sweethome3d.applet.SweetHome3DApplet j3dcore.jar vecmath.jar j3dutils.jar windowsj3dcored3d.dll windowsj3dcoreogl.dll windowsj3dcoreoglcg.dll windowsj3dcoreoglchk.dll macosxgluegenrt.jar macosxjogl.jar macosxlibgluegenrt.jnilib macosxlibjogl.jnilib macosxlibjoglawt.jnilib macosxlibjoglcg.jnilib os.name Linux sun.arch.data.model linuxx64libj3dcoreogl.so linuxi386libj3dcoreogl.so linuxi386libj3dcoreoglcg.so com.eteks.sweethome3d javax.media javax.vecmath com.sun.j3d com.sun.opengl com.sun.gluegen.runtime javax.media.opengl com.sun.media com.ibm.media jmpapps.util com.microcrowd.loader.java3d org.sunflow javax.swing.JApplet htmlIf you want to run this applet you must relaunch your browserbrdisplay this page again and accept the displayed digital signature. htmlCant start appletbrException getApplicationClassName com.eteks.sweethome3d.applet.AppletApplication getPluginsPackages pluginURLs s .class class,sweetHome3DApplet,0.0
12,applet/SweetHome3DViewer,com/eteks/sweethome3d/applet/SweetHome3DViewer,appletApplication init htmlpThis applet may be run under Windows Mac OS X 10.4  10.5 Linux and Solaris.brIt requires Java version 5 or superior.ppPlease check Java version set in Java preferences under Mac OS Xbror update your Java Runtime to the latest version available at java.com under the other systems.p destroy destroy isJava5OrSuperior java.version showError createAppletApplication com.eteks.sweethome3d.applet.SweetHome3DViewer j3dcore.jar vecmath.jar j3dutils.jar windowsj3dcored3d.dll windowsj3dcoreogl.dll windowsj3dcoreoglcg.dll windowsj3dcoreoglchk.dll macosxgluegenrt.jar macosxjogl.jar macosxlibgluegenrt.jnilib macosxlibjogl.jnilib macosxlibjoglawt.jnilib macosxlibjoglcg.jnilib os.name Linux sun.arch.data.model linuxx64libj3dcoreogl.so linuxi386libj3dcoreogl.so linuxi386libj3dcoreoglcg.so com.eteks.sweethome3d javax.media.j3d javax.vecmath com.sun.j3d com.sun.opengl com.sun.gluegen.runtime javax.media.opengl com.microcrowd.loader.java3d com.eteks.sweethome3d.applet.ViewerHelper javax.swing.JApplet htmlCant start appletbrException class,sweetHome3DApplet,0.0
13,applet/ViewerHelper,com/eteks/sweethome3d/applet/ViewerHelper,taskRunning setTaskRunning,sweetHome3DApplet,0.0
14,io/DefaultFurnitureCatalog,com/eteks/sweethome3d/io/DefaultFurnitureCatalog,accept,sweetHome3DIO,0.021686746987951807
15,io/DefaultHomeInputStream,com/eteks/sweethome3d/io/DefaultHomeInputStream,tempFile checkCurrentThreadIsntInterrupted readHome open .sweethome3d access000,sweetHome3DIO,0.02459839357429719
16,io/DefaultHomeOutputStream,com/eteks/sweethome3d/io/DefaultHomeOutputStream,replaceObject jarfiletemp,sweetHome3DIO,0.01971522453450164
