File_ID,File,Entity,Code,Module,Closeness_Centrality
1,client/remoteapi/RemoteApiClient,teammates/client/remoteapi/RemoteApiClient,ofy doOperationRemotely https,client.remoteAPI,0.02056555269922879
2,client/scripts/AdminEmailListGenerator,teammates/client/scripts/AdminEmailListGenerator,,client.scripts,0.0
3,client/scripts/DataBundleRegenerator,teammates/client/scripts/DataBundleRegenerator,,client.scripts,0.0
4,client/scripts/DataGenerator,teammates/client/scripts/DataGenerator,FILENAME ResultFileName.json PREFIX D1 NUMOFCOURSES NUMOFSTUDENTS MINNUMOFINSTRUCTORPERCOURSES MAXNUMOFINSTRUCTORPERCOURSES MINNUMOFSTUDENTSPERCOURSE AVERAGENUMOFSTUDENTSPERCOURSE STANDARDDEVIATIONSTUDENTPERCOURSE MAXNUMOFSTUDENTSPERCOURSE MAXTEAMSIZE MINTEAMSIZE courses instructors studentEmails students teams random main srctestresourcesdataResultFileName.json args data writeDataToFile data filePath out fstream generateData Start generating data D1Stu Emailgmail.com Course Done generating data courseName generateDataForCourse Instr of instrName courseName numOfInstr generateStudentsDataForCourse Emailgmail.com Stu D1Stu Team in integer email studentIndex studentId teamSize team courseName numOfStudent studentIndexs studentEmailInCourse teamCount output Start writing to file  Finish writing to file  allAccounts allCourses allInstructors allStudents allAccounts accounts email outputBuilder output allInstructors instructors D1 D1 googleIdOf courseIdOf nameOf emailOf gmail.com course instructorWithPrefix entry outputBuilder output allCourses courses D1 courseIdOf nameOf course output allStudents students Stu Team Team D1 in Student in Team comment courseIdOf student index team course email outputBuilder account googleId name email gmail.cominstitute acc instructor googleId courseId name email objName googleId courseId name email course id name objName id name student email name team id comments course profilevalue  objName email name team id comments course getDeviatedNumberOfStudentInCourse num,client.scripts,0.0
5,client/scripts/DataMigrationForFeedbackResponseCommentSearchDocumentDateFormat,teammates/client/scripts/DataMigrationForFeedbackResponseCommentSearchDocumentDateFormat,isPreview batchSize oldDateFormat newDateFormat index jsonParser main args doOperation commentsToFix analyzeAndGetAffectedComments Analyzing comments and their search documents... comments analyzed. Unrecognised date format   for  Analysis Results  Total number of comments Total number of documents Number of documents already in new date format Number of documents in unrecognizable date format Number of documents in old date format document sampleDateString comment allComments commentsToFix numberOfDocuments numberOfUnaffectedDocuments loopHelper getDocument comment extractSampleDateString frCommentAttibute createdAt document frcaJson isInDateFormat dateString dateFormat fixDocuments Running data migration for documents in old date format... Preview true documents processed. Complete If there are any failures shown above please rerun this script. commentToFix commentsToFix documentsToUpdate loopHelper queueDocumentUpdate comment documentsToUpdate updateAndClearDocuments Batch updating documents... documentsToUpdate invokePutDocumentsWithRetry LteammatesstoragesearchSearchManager putDocumentsWithRetry LjavalangString LjavautilList method originalException indexName documents yyyyMMdd hmm a Z feedbackresponsecomment,client.scripts,0.0
6,client/scripts/DataMigrationForResponseRate,teammates/client/scripts/DataMigrationForResponseRate,logic fsDb isForAllSession isOnlyModifyingZeroResponseRate isPreview main Total execution time ms args startTime migrator endTime doOperation Feedback Session Name Course ID updateRespondentsForAllSessions session feedbackSessions getFeedbackSessionsWithZeroResponseRate feedbackSession feedbackSessions feedbackSessionsWithNoRespondents updateRespondentsForSession Modifying   Successfully updated response rate for session in course ERROR Failed to update respondents for session in course feedbackSessionName courseId,client.scripts,0.0
7,client/scripts/DataMigrationForSanitizedDataInAdminEmailAttributes,teammates/client/scripts/DataMigrationForSanitizedDataInAdminEmailAttributes,isPreview adminEmailsDb adminEmailsLogic main args doOperation admin emails processed. Running data migration for sanitization on admin emails... Preview true Problem sanitizing email id Total number of emails Number of affected emails Number of updated emails isEmailSanitized email allEmails numberOfAffectedEmails numberOfUpdatedEmails loopHelper desanitizeAndUpdateEmail email desanitizedContent,client.scripts,0.0
8,client/scripts/DataMigrationForSanitizedDataInCourseAttributes,teammates/client/scripts/DataMigrationForSanitizedDataInCourseAttributes,isPreview coursesLogic main args doOperation LteammatesstorageentityCourse courses processed. Running data migration for sanitization on courses... Preview true Problem sanitizing course with id Total number of courses Number of affected courses Number of updated courses course allCourses numberOfAffectedCourses numberOfUpdatedCourses loopHelper desanitizeAndUpdateCourse originalCourse courseToUpdate,client.scripts,0.0
9,client/scripts/DataMigrationForSanitizedDataInStudentAttributes,teammates/client/scripts/DataMigrationForSanitizedDataInStudentAttributes,isPreview studentsDb studentsLogic numberOfSanitizedEmail numberOfSanitizedGoogleId main args migrator doOperation Checking Sanitization for students... There areis sanitized emails There areis sanitized Google Ids There areis students with sanitized data student allStudents numberOfAffectedStudents previewSanitizedDataForStudent Checking student having email comments new comments course new course email new email googleId new googleId lastName new lastName name new name section new section team new team student hasSanitizedData isSanitizedString lt gt quot x2f amp fixSanitization checkStudentHasSanitizedData student fixSanitizationForStudent student fixSanitizedDataForStudent Student invalid Student does not exist hasSanitizedData student getAllStudents updateStudent originalEmail student originalStudent,client.scripts,0.0
10,client/scripts/DataMigrationForSanitizedDataInStudentProfileAttributes,teammates/client/scripts/DataMigrationForSanitizedDataInStudentProfileAttributes,isPreview profilesLogic main args doOperation student profiles processed. Running data migration for sanitization on student profiles... Preview true Problem sanitizing profile with google id Total number of profiles Number of affected profiles Number of updated profiles hasAllUnsanitizedFields profile allStudentProfiles numberOfAffectedProfiles numberOfUpdatedProfiles loopHelper desanitizeAndUpdateProfile profile hasAnySanitizedField profile,client.scripts,0.0
