File_ID,File,Entity,Code,Module,Closeness_Centrality
1,client/remoteapi/RemoteApiClient,teammates/client/remoteapi/RemoteApiClient,"['doOperation', 'Going to connect to', 'appPort', 'options', 'ofy', 'objectifySession', 'installer', 'appUrl', '--- Starting remote operation ---', 'println', 'doOperationRemotely', 'string', '^https?//', 'appDomain', '--- Remote operation completed ---']",client.remoteAPI,0.02056555269922879
2,client/scripts/AdminEmailListGenerator,teammates/client/scripts/AdminEmailListGenerator,"['iterationCounter', 'x0', 'Date format error', 'Date is not valid. Please Re-enter date.\n\n', 'addStudentEmailIntoSet', 'ALL\n', 'split', 'isInstructorCreatedInRange', 'shouldIncludeInstructor', 'instructorCreatedAt', 'studentStatus', 'doOperation', 'account', 'studentEmailSet', 'Lteammates/storage/entity/Instructor;', 'studentCreatedDateRangeStart', 'allStudents', 'filePathForSaving', 'printToFile', 'getCourseEntity', 'instructorCreatedDateRangeEnd', 'courseIdToCreatedDateMap', 'studentEmailCount', 'values', 'course', 'getStudentCreatedDate', 'isDateValid', 'Date Entered is valid.\n\n', 'UNREG\n', 'Problem writing to the file statsTest.txt', 'date', 'studentCreatedAt', 'valueOf', 'Lteammates/storage/entity/CourseStudent;', 'student start  ', 'getDate', 'Lteammates/client/scripts/AdminEmailListGeneratorStudentStatus;', '.tmt', 'shouldIncludeTestData', 'allInstructors', 'studentCreatedDateRangeEnd', 'getMaxNumOfDayForMonth', 'email', 'year', 'instructorStatus', 'Lteammates/client/scripts/AdminEmailListGeneratorInstructorStatus;', '\n\nstudent  ', 'isRegistered', 'UNREG', 'instructor end  ', 'now', 'cal', 'Lteammates/storage/entity/Account;', 'osw', 'instructor start  ', 'C\\Users\\Mo\\Desktop\\', 'formatTime', 'isValidDate', 'REG', 'REG\n', 'isStudentCreatedInRange', 'getCurrentDateForDisplay', 'getInputDate', 'getInstructorEmailConfiguration', 'shouldIncludeStudent', 'fos', 'Instructor Status ', '------------------ iterations count', 'emailListConfig', 'instructorCreatedDateRangeStart', 'Student Status ', 'Lteammates/storage/entity/Course;', 'writeEmailsIntoTextFile', 'adminEmailListGenerator', 'Instructor email num ', 'ALL', 'newFile', 'getAccountEntity', '[HH-mm]dd-MMM-yyyy', 'Student email num ', 'getInstructorCreatedDate', 'student end  ', '.txt', 'name', 'dateString', 'courseId', 'student', 'day', 'googleId', 'dateTime', 'getStudentEmailConfiguration', 'instructorEmailSet', 'instructor  ', 'addInstructorEmailIntoSet', 'No email list to be generated. Exiting now..\n\n', 'instructorEmailCount', 'updateProgressIndicator', 'instructor', 'main', 'args', 'month']",client.scripts,0.0
3,client/scripts/DataBundleRegenerator,teammates/client/scripts/DataBundleRegenerator,"['.json', 'json', 'regenerateSessionTemplateJson', 'fixQuestion', './src/main/resources', 'feedbackSessionTeamEvaluationTemplate.json', ' regenerated!', 'regenerateAllDataBundleJson', './src/main/resources/feedbackSessionTeamEvaluationTemplate.json', './src/main/webapp/js/countryCoordinates.json', 'file', './src/main/webapp/js/userMapData.json', 'NON_DATA_BUNDLE_JSON', 'jsonString', 'reprintedJson', 'db', 'Lteammates/common/datatransfer/DataBundle;', 'folder', 'questionValue', 'questionMap', 'keys', 'regenerateMapsJson', 'fixResponse', 'questionJson', 'listOfFiles', 'responseJson', 'responseValue', 'filePath', 'UTC', 'maintainKeyOrder', 'question', './src/test/resources/data', 'responseMap', 'regenerateDataBundleJson', 'regeneratedJsonString', 'regenerateGenericJson', 'response', 'saveFile', 'content', 'main', 'args', 'key', 'template']",client.scripts,0.0
4,client/scripts/DataGenerator,teammates/client/scripts/DataGenerator,"['NUM_OF_COURSES', 'PREFIX', 'comment', '_of_', '""accounts""{\n', 'googleIdOf_', ' in ', 'allAccounts', 'courses', 'AVERAGE_NUM_OF_STUDENTS_PER_COURSE', 'output', 'account', '@gmail.com', 'allStudents', '""{""id""""', 'MIN_NUM_OF_STUDENTS_PER_COURSE', '""""email""""', 'objName', 'course', '""id""""', 'Instr', '""name""""', 'Start writing to file !', 'Stu', 'src/test/resources/data/ResultFileName.json', 'acc', '_in_', 'STANDARD_DEVIATION_STUDENT_PER_COURSE', 'D1_Stu', '""email""""', 'ResultFileName.json', 'MAX_NUM_OF_INSTRUCTOR_PER_COURSES', 'numOfInstr', 'allCourses', 'index', 'allInstructors', 'fstream', 'Start generating data!', 'studentIndex', 'Finish writing to file !', 'instructorWithPrefix', 'email', '""instructors""{\n', '""courses""{\n', '""{""googleId""""', 'numOfStudent', 'id', 'Student ', 'Done generating data!', 'team', 'courseIdOf_', '@gmail.com""""institute""""""}', 'D1_', 'studentEmailInCourse', '""""name""""', 'MIN_TEAM_SIZE', 'comments', 'getDeviatedNumberOfStudentInCourse', '""comments""""', 'teams', 'emailOf_', 'teamCount', 'num', 'integer', 'teamSize', 'filePath', '""students""{\n', 'FILE_NAME', 'instructors', 'studentEmails', 'writeDataToFile', 'out', 'studentId', 'MIN_NUM_OF_INSTRUCTOR_PER_COURSES', '""""courseId""""', '""profile""{""value"" ""', '""course""""', 'generateData', 'NUM_OF_STUDENTS', 'Team', 'outputBuilder', 'name', 'courseId', 'courseName', 'student', 'Email@gmail.com', 'generateStudentsDataForCourse', 'studentIndexs', 'googleId', '""team""""', 'data', 'generateDataForCourse', 'students', 'entry', 'MAX_NUM_OF_STUDENTS_PER_COURSE', 'Course', 'nameOf_', 'Team ', 'instructor', 'random', 'main', 'args', 'instrName', 'MAX_TEAM_SIZE']",client.scripts,0.0
5,client/scripts/DataMigrationForFeedbackResponseCommentSearchDocumentDateFormat,teammates/client/scripts/DataMigrationForFeedbackResponseCommentSearchDocumentDateFormat,"['\n################# Analysis Results #################', 'getDocument', 'analyzeAndGetAffectedComments', 'numberOfUnaffectedDocuments', 'sampleDateString', 'isInDateFormat', 'comment', 'Lteammates/storage/search/SearchManager;', 'loopHelper', 'document', 'documents', 'dateFormat', ' documents in old date format...', 'Number of documents already in new date format ', 'documents processed.', 'createdAt', 'Analyzing comments and their search documents...', 'dateString', '\nComplete! If there are any failures shown above please rerun this script.', 'updateAndClearDocuments', 'invokePutDocumentsWithRetry', 'fixDocuments', 'Ljava/lang/String;', 'Total number of documents ', 'isPreview', 'method', 'Ljava/util/List;', 'Unrecognised date format (', 'index', 'feedbackresponsecomment', 'doOperation', 'Preview true', 'indexName', 'frCommentAttibute', 'newDateFormat', 'putDocumentsWithRetry', 'comments analyzed.', 'yyyy-MM-dd hmm a Z', 'oldDateFormat', 'allComments', 'batchSize', 'numberOfDocuments', 'originalException', 'extractSampleDateString', 'jsonParser', 'queueDocumentUpdate', 'Total number of comments ', 'frcaJson', 'commentToFix', 'Number of documents in unrecognizable date format ', 'main', 'args', ') for\n', 'Number of documents in old date format ', 'documentsToUpdate', 'Running data migration for ', 'Batch updating ', ' documents...', 'commentsToFix']",client.scripts,0.0
6,client/scripts/DataMigrationForResponseRate,teammates/client/scripts/DataMigrationForResponseRate,"['Course ID', 'Feedback Session Name', 'isOnlyModifyingZeroResponseRate', 'isForAllSession', 'feedbackSessionName', 'feedbackSessionsWithNoRespondents', 'endTime', 'ERROR Failed to update respondents for session ', 'ms', 'courseId', 'feedbackSession', 'Successfully updated response rate for session ', 'getFeedbackSessionsWithZeroResponseRate', 'isPreview', 'doOperation', 'logic', 'session', 'Modifying  [', 'updateRespondentsForAllSessions', ' in course ', 'Total execution time ', 'startTime', 'feedbackSessions', 'fsDb', 'migrator', 'updateRespondentsForSession', 'main', 'args']",client.scripts,0.0
7,client/scripts/DataMigrationForSanitizedDataInAdminEmailAttributes,teammates/client/scripts/DataMigrationForSanitizedDataInAdminEmailAttributes,"['desanitizeAndUpdateEmail', 'numberOfUpdatedEmails', 'Problem sanitizing email id ', 'Number of updated emails ', 'Total number of emails ', 'admin emails processed.', 'numberOfAffectedEmails', 'adminEmailsLogic', 'isPreview', 'Running data migration for sanitization on admin emails...', 'doOperation', 'allEmails', 'Preview true', 'email', 'isEmailSanitized', 'Number of affected emails ', 'adminEmailsDb', 'desanitizedContent', 'args', 'main', 'loopHelper']",client.scripts,0.0
8,client/scripts/DataMigrationForSanitizedDataInCourseAttributes,teammates/client/scripts/DataMigrationForSanitizedDataInCourseAttributes,"['Number of updated courses ', 'courses processed.', 'Number of affected courses ', 'Running data migration for sanitization on courses...', 'allCourses', 'isPreview', 'originalCourse', 'doOperation', 'Preview true', 'Problem sanitizing course with id ', 'Lteammates/storage/entity/Course;', 'course', 'Total number of courses ', 'coursesLogic', 'courseToUpdate', 'numberOfAffectedCourses', 'desanitizeAndUpdateCourse', 'args', 'main', 'loopHelper', 'numberOfUpdatedCourses']",client.scripts,0.0
9,client/scripts/DataMigrationForSanitizedDataInStudentAttributes,teammates/client/scripts/DataMigrationForSanitizedDataInStudentAttributes,"[' does not exist!', 'new googleId ', 'course ', 'checkStudentHasSanitizedData', 'new lastName ', 'lastName ', '&#x2f;', 'originalStudent', '&amp;', '&lt;', 'numberOfSanitizedGoogleId', 'new name ', 'email ', '&gt;', 'isPreview', 'hasSanitizedData', 'new section ', 'There are/is ', 'student', 'fixSanitizationForStudent', 'Checking student having email ', ' sanitized Google Id(s)!', 'doOperation', 'previewSanitizedDataForStudent', 'isSanitizedString', 'new course ', 'googleId ', 'allStudents', ' sanitized email(s)!', ' invalid!', 'new email ', 'name ', 'originalEmail', 'Checking Sanitization for students...', 'fixSanitization', 'updateStudent', 'new team ', 'comments ', 'migrator', '&quot;', 'numberOfSanitizedEmail', 'getAllStudents', 'studentsLogic', 'fixSanitizedDataForStudent', 'team ', 'numberOfAffectedStudents', 'new comments ', 'main', 'args', ' student(s) with sanitized data!', 'studentsDb', 'Student ', 'section ']",client.scripts,0.0
10,client/scripts/DataMigrationForSanitizedDataInStudentProfileAttributes,teammates/client/scripts/DataMigrationForSanitizedDataInStudentProfileAttributes,"['Number of affected profiles ', 'profile', 'Total number of profiles ', 'desanitizeAndUpdateProfile', 'Number of updated profiles ', 'hasAllUnsanitizedFields', 'numberOfUpdatedProfiles', 'isPreview', 'hasAnySanitizedField', 'doOperation', 'Preview true', 'student profiles processed.', 'profilesLogic', 'allStudentProfiles', 'Problem sanitizing profile with google id ', 'Running data migration for sanitization on student profiles...', 'numberOfAffectedProfiles', 'main', 'args', 'loopHelper']",client.scripts,0.0
