Source_ID,Target_ID,Source_File,Target_File,Source_Member,Target_Member,Source_Member_Type,Target_Member_Type,Dependency_Type,Dependency_Count,Is_Member_Level,Source_Member_ID,Target_Member_ID,Source_Module,Target_Module
16,190,bashjmp.h,lib/readline/posixjmp.h,,,file,file,Import,1.0,False,,,general,libreadline
276,89,lib/sh/tmpfile.c,include/filecntl.h,,,file,file,Import,1.0,False,,,libsh,general
7,99,array.h,include/stdc.h,,,file,file,Import,1.0,False,,,general,general
276,83,lib/sh/tmpfile.c,general.h,get_sys_tmpdir,file_iswdir,functionimpl,functionproto,Call,3.0,True,2514.0,685.0,libsh,general
232,316,lib/sh/getenv.c,shell.h,,,file,file,Import,1.0,False,,,libsh,general
104,26,jobs.c,builtins/common.h,job_working_directory,get_working_directory,functionimpl,functionproto,Call,1.0,True,784.0,102.0,job_control,libbuiltins
104,26,jobs.c,builtins/common.h,,,file,file,Import,1.0,False,,,job_control,libbuiltins
25,91,builtins/common.c,include/maxpath.h,,,file,file,Import,1.0,False,,,libbuiltins,general
82,316,general.c,shell.h,,,file,file,Import,1.0,False,,,general,general
82,316,general.c,shell.h,initialize_group_array,user_info,functionimpl,type,Use,8.0,True,640.0,2925.0,general,general
82,316,general.c,shell.h,group_member,user_info,functionimpl,type,Use,8.0,True,639.0,2925.0,general,general
74,105,execute_cmd.c,jobs.h,,,file,file,Import,1.0,False,,,general,job_control
104,33,jobs.c,command.h,,command,file,type,Contain,2.0,False,,194.0,job_control,general
144,145,lib/intl/relocatable.c,lib/intl/relocatable.h,,,file,file,Import,1.0,False,,,libintl,libintl
104,39,jobs.c,error.h,set_tty_state,sys_error,functionimpl,functionproto,Call,3.0,True,797.0,263.0,job_control,error_handling
104,39,jobs.c,error.h,notify_of_job_status,get_name_for_error,functionimpl,functionproto,Call,3.0,True,789.0,258.0,job_control,error_handling
104,39,jobs.c,error.h,notify_of_job_status,programming_error,functionimpl,functionproto,Call,3.0,True,789.0,262.0,job_control,error_handling
25,81,builtins/common.c,flags.h,,,file,file,Import,1.0,False,,,libbuiltins,general
40,340,eval.c,variables.h,read_command,variable,functionimpl,type,Cast,1.0,True,266.0,3694.0,general,general
40,340,eval.c,variables.h,reader_loop,dispose_used_env_vars,functionimpl,functionproto,Call,4.0,True,267.0,3658.0,general,general
40,340,eval.c,variables.h,send_pwd_to_eterm,get_string_value,functionimpl,functionproto,Call,4.0,True,268.0,3665.0,general,general
40,340,eval.c,variables.h,parse_command,get_string_value,functionimpl,functionproto,Call,4.0,True,265.0,3665.0,general,general
40,340,eval.c,variables.h,read_command,find_variable,functionimpl,functionproto,Call,4.0,True,266.0,3662.0,general,general
40,340,eval.c,variables.h,read_command,variable,functionimpl,type,Use,1.0,True,266.0,3694.0,general,general
40,340,eval.c,variables.h,read_command,variable,functionimpl,type,Contain,1.0,True,266.0,3694.0,general,general
339,77,variables.c,externs.h,sh_get_home_dir,get_current_user_info,functionimpl,functionproto,Call,10.0,True,3498.0,538.0,general,general
339,77,variables.c,externs.h,set_shell_var,get_current_user_info,functionimpl,functionproto,Call,10.0,True,3497.0,538.0,general,general
339,77,variables.c,externs.h,get_bash_name,get_current_user_info,functionimpl,functionproto,Call,10.0,True,3474.0,538.0,general,general
339,77,variables.c,externs.h,get_bash_name,sh_canonpath,functionimpl,functionproto,Call,10.0,True,3474.0,558.0,general,general
339,77,variables.c,externs.h,set_ppid,inttostr,functionimpl,functionproto,Call,10.0,True,3495.0,546.0,general,general
339,77,variables.c,externs.h,uidset,inttostr,functionimpl,functionproto,Call,10.0,True,3499.0,546.0,general,general
339,77,variables.c,externs.h,maybe_make_export_env,strvec_flush,functionimpl,functionproto,Call,10.0,True,3483.0,567.0,general,general
339,77,variables.c,externs.h,maybe_make_export_env,strvec_resize,functionimpl,functionproto,Call,10.0,True,3483.0,568.0,general,general
339,79,variables.c,findcmd.h,get_bash_name,find_user_command,functionimpl,functionproto,Call,2.0,True,3474.0,590.0,general,general
339,79,variables.c,findcmd.h,get_bash_name,file_status,functionimpl,functionproto,Call,2.0,True,3474.0,589.0,general,general
339,79,variables.c,findcmd.h,,,file,file,Import,1.0,False,,,general,general
25,88,builtins/common.c,include/chartypes.h,,,file,file,Import,1.0,False,,,libbuiltins,general
339,75,variables.c,execute_cmd.h,,,file,file,Import,1.0,False,,,general,general
339,81,variables.c,flags.h,,,file,file,Import,1.0,False,,,general,general
74,114,execute_cmd.c,lib/glob/strmatch.h,,,file,file,Import,1.0,False,,,general,libglob
75,99,execute_cmd.h,include/stdc.h,,,file,file,Import,1.0,False,,,general,general
339,88,variables.c,include/chartypes.h,,,file,file,Import,1.0,False,,,general,general
339,87,variables.c,hashlib.h,,hashlib,file,type,Cast,3.0,False,,,general,general
339,87,variables.c,hashlib.h,kill_all_local_variables,hash_table,functionimpl,type,Cast,3.0,True,3480.0,728.0,general,general
339,87,variables.c,hashlib.h,create_variable_tables,hash_create,functionimpl,functionproto,Call,4.0,True,3471.0,721.0,general,general
339,87,variables.c,hashlib.h,kill_all_local_variables,hash_dispose,functionimpl,functionproto,Call,4.0,True,3480.0,722.0,general,general
339,87,variables.c,hashlib.h,pop_var_context,hash_flush,functionimpl,functionproto,Call,4.0,True,3489.0,723.0,general,general
339,87,variables.c,hashlib.h,kill_all_local_variables,hash_table,functionimpl,type,Use,2.0,True,3480.0,728.0,general,general
339,87,variables.c,hashlib.h,maybe_make_export_env,hash_table,functionimpl,type,Use,2.0,True,3483.0,728.0,general,general
339,87,variables.c,hashlib.h,,hashlib,file,type,Contain,10.0,False,,,general,general
82,334,general.c,test.h,,,file,file,Import,1.0,False,,,general,general
25,77,builtins/common.c,externs.h,sh_wrerror,strerror,functionimpl,functionproto,Call,1.0,True,68.0,559.0,libbuiltins,general
339,83,variables.c,general.h,get_bash_name,make_absolute,functionimpl,functionproto,Call,3.0,True,3474.0,689.0,general,general
339,83,variables.c,general.h,get_bash_name,full_pathname,functionimpl,functionproto,Call,3.0,True,3474.0,686.0,general,general
339,83,variables.c,general.h,init_seconds_var,legal_number,functionimpl,functionproto,Call,3.0,True,3477.0,688.0,general,general
276,94,lib/sh/tmpfile.c,include/posixtime.h,,,file,file,Import,1.0,False,,,libsh,general
25,75,builtins/common.c,execute_cmd.h,builtin_error_prolog,executing_line_number,functionimpl,functionproto,Call,1.0,True,62.0,453.0,libbuiltins,general
25,75,builtins/common.c,execute_cmd.h,,,file,file,Import,1.0,False,,,libbuiltins,general
339,85,variables.c,hashcmd.h,,,file,file,Import,1.0,False,,,general,general
149,148,lib/malloc/malloc.c,lib/malloc/imalloc.h,,,file,file,Import,1.0,False,,,libmalloc,general
339,19,variables.c,bashtypes.h,,,file,file,Import,1.0,False,,,general,general
339,19,variables.c,bashtypes.h,,,file,var,Use,1.0,False,,,general,general
341,99,version.c,include/stdc.h,,,file,file,Import,1.0,False,,,general,general
339,15,variables.c,bashintl.h,,,file,file,Import,1.0,False,,,general,general
339,12,variables.c,bashansi.h,,,file,file,Import,1.0,False,,,general,general
174,199,lib/readline/histexpand.c,lib/readline/rlshell.h,,,file,file,Import,1.0,False,,,libreadline,libreadline
339,26,variables.c,builtins/common.h,set_pwd,set_working_directory,functionimpl,functionproto,Call,5.0,True,3496.0,114.0,general,libbuiltins
339,26,variables.c,builtins/common.h,set_pwd,get_working_directory,functionimpl,functionproto,Call,5.0,True,3496.0,102.0,general,libbuiltins
339,26,variables.c,builtins/common.h,pop_dollar_vars,remember_args,functionimpl,functionproto,Call,5.0,True,3488.0,109.0,general,libbuiltins
339,26,variables.c,builtins/common.h,pop_dollar_vars,set_dollar_vars_unchanged,functionimpl,functionproto,Call,5.0,True,3488.0,113.0,general,libbuiltins
339,26,variables.c,builtins/common.h,,,file,file,Import,1.0,False,,,general,libbuiltins
82,19,general.c,bashtypes.h,,,file,file,Import,1.0,False,,,general,general
82,15,general.c,bashintl.h,,,file,file,Import,1.0,False,,,general,general
208,198,lib/readline/signals.c,lib/readline/rlprivate.h,rl_cleanup_after_signal,_rl_clean_up_for_exit,functionimpl,functionproto,Call,3.0,True,2052.0,1912.0,libreadline,libreadline
208,198,lib/readline/signals.c,lib/readline/rlprivate.h,rl_free_line_state,_rl_kill_kbd_macro,functionimpl,functionproto,Call,3.0,True,2054.0,1929.0,libreadline,libreadline
208,198,lib/readline/signals.c,lib/readline/rlprivate.h,rl_free_line_state,_rl_reset_argument,functionimpl,functionproto,Call,3.0,True,2054.0,1940.0,libreadline,libreadline
208,198,lib/readline/signals.c,lib/readline/rlprivate.h,,,file,file,Import,1.0,False,,,libreadline,libreadline
208,198,lib/readline/signals.c,lib/readline/rlprivate.h,_rl_block_sigint,_rl_block_sigint,functionimpl,functionproto,Implement,4.0,True,2048.0,1909.0,libreadline,libreadline
208,198,lib/readline/signals.c,lib/readline/rlprivate.h,_rl_release_sigint,_rl_release_sigint,functionimpl,functionproto,Implement,4.0,True,2050.0,1938.0,libreadline,libreadline
208,198,lib/readline/signals.c,lib/readline/rlprivate.h,_rl_block_sigwinch,_rl_block_sigwinch,functionimpl,functionproto,Implement,4.0,True,2049.0,1910.0,libreadline,libreadline
208,198,lib/readline/signals.c,lib/readline/rlprivate.h,_rl_release_sigwinch,_rl_release_sigwinch,functionimpl,functionproto,Implement,4.0,True,2051.0,1939.0,libreadline,libreadline
82,12,general.c,bashansi.h,,,file,file,Import,1.0,False,,,general,general
